"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmssnut  ","P",01/13/2010 12:06,1,1,1         ,1         ,"",0.0070,<0>  ,0.0190,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0122,<0>  ,5.4000,<0>  ,
"gtmssnut  ","P",01/13/2010 12:07,1,1,1         ,2         ,"",0.0060,<0>  ,0.0230,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0062,<0>  ,6.5000,<0>  ,
"gtmssnut  ","P",02/16/2010 13:52,1,1,1         ,1         ,"",0.0150,<0>  ,0.0340,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0370,<0>  ,2.4000,<-3> [GQD] ,
"gtmssnut  ","P",02/16/2010 13:53,1,1,1         ,2         ,"",0.0170,<0>  ,0.0330,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0336,<0>  ,2.2000,<-3> [GQD] ,
"gtmssnut  ","P",03/16/2010 13:31,1,1,1         ,1         ,"",0.0180,<0>  ,0.0530,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0257,<0>  ,4.7000,<0>  ,
"gtmssnut  ","P",03/16/2010 13:32,1,1,1         ,2         ,"",0.0190,<0>  ,0.0510,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0261,<0>  ,4.0000,<0>  ,
"gtmssnut  ","P",04/14/2010 12:16,1,1,1         ,1         ,"",0.0160,<0>  ,0.0600,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0194,<0>  ,4.7000,<0>  ,
"gtmssnut  ","P",04/14/2010 12:17,1,1,1         ,2         ,"",0.0160,<0>  ,0.0440,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0173,<0>  ,5.1000,<0>  ,
"gtmssnut  ","P",05/11/2010 10:56,1,1,1         ,1         ,"",0.0250,<0>  ,0.0520,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0255,<0>  ,9.2000,<0>  ,
"gtmssnut  ","P",05/11/2010 10:57,1,1,1         ,2         ,"",0.0240,<0>  ,0.0460,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0265,<0>  ,8.5000,<0>  ,
"gtmssnut  ","P",06/09/2010 9:23,1,1,1         ,1         ,"",0.0230,<0>  ,0.0410,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0149,<0>  ,9.6000,<0>  ,
"gtmssnut  ","P",06/09/2010 9:24,1,1,1         ,2         ,"",0.0250,<0>  ,0.0430,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0153,<0>  ,9.4000,<0>  ,
"gtmssnut  ","P",07/13/2010 12:41,1,1,1         ,1         ,"",0.0150,<0>  ,0.0340,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0106,<0>  ,8.7000,<0>  ,
"gtmssnut  ","P",07/13/2010 12:42,1,1,1         ,2         ,"",0.0170,<0>  ,0.0350,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0118,<0>  ,8.7000,<0>  ,
"gtmssnut  ","P",08/10/2010 11:51,1,1,1         ,1         ,"",0.0210,<0>  ,0.0560,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0122,<0>  ,6.7000,<0>  ,
"gtmssnut  ","P",08/10/2010 11:52,1,1,1         ,2         ,"",0.0210,<0>  ,0.0800,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0134,<0>  ,7.2000,<0>  ,
"gtmssnut  ","P",09/07/2010 11:51,1,1,1         ,1         ,"",0.0290,<0>  ,0.1880,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0265,<0>  ,6.5000,<0>  ,
"gtmssnut  ","P",09/07/2010 11:52,1,1,1         ,2         ,"",0.0240,<0>  ,0.1610,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0208,<0>  ,6.5000,<0>  ,
"gtmssnut  ","P",10/05/2010 10:20,1,1,1         ,1         ,"",0.0120,<0>  ,0.0177,<-4> [SBL] ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0166,<0>  ,6.2000,<0>  ,
"gtmssnut  ","P",10/05/2010 10:21,1,1,1         ,2         ,"",0.0180,<0>  ,0.0240,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0271,<0>  ,5.8000,<0>  ,
"gtmssnut  ","P",11/09/2010 14:00,1,1,1         ,1         ,"",0.0070,<0>  ,0.0260,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0084,<0>  ,5.6000,<0>  ,
"gtmssnut  ","P",11/09/2010 14:01,1,1,1         ,2         ,"",0.0060,<0>  ,0.0390,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0097,<0>  ,4.7000,<0>  ,
"gtmssnut  ","P",12/07/2010 13:20,1,1,1         ,1         ,"",0.0080,<0>  ,0.0570,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0097,<0>  ,4.9000,<0>  ,
"gtmssnut  ","P",12/07/2010 13:21,1,1,1         ,2         ,"",0.0070,<0>  ,0.0610,<0>  ,0.0100,<-4> [SBL] ,"",<-4> [SCB] ,0.0074,<0>  ,4.9000,<0>  ,
