"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"soschnut  ","P",01/21/2009 8:32,1,1,1         ,1         ,"{TSH}",0.0530,<0>  ,0.0010,<0>  ,0.0030,<0>  ,0.2980,<0>  ,0.3010,<0>  ,0.4800,<0>  ,
"soschnut  ","P",01/21/2009 8:35,1,1,1         ,2         ,"{TSH}",0.0540,<0>  ,0.0007,<-4> [SBL] ,0.0020,<0>  ,0.2970,<0>  ,0.2990,<0>  ,0.4300,<0>  ,
"soschnut  ","P",01/21/2009 8:38,1,1,1         ,3         ,"{TSH}",0.0530,<0>  ,0.0007,<-4> [SBL] ,0.0030,<0>  ,0.2990,<0>  ,0.3020,<0>  ,0.4700,<0>  ,
"soschnut  ","P",01/21/2009 15:18,1,1,1         ,1         ,"{TSL}",0.0340,<0>  ,0.0350,<0>  ,0.0040,<0>  ,0.1820,<0>  ,0.1860,<0>  ,1.3200,<0>  ,
"soschnut  ","P",01/21/2009 15:23,1,1,1         ,2         ,"{TSL}",0.0330,<0>  ,0.0340,<0>  ,0.0040,<0>  ,0.1820,<0>  ,0.1860,<0>  ,1.3500,<0>  ,
"soschnut  ","P",01/21/2009 15:30,1,1,2         ,1         ,"",0.0290,<0>  ,0.0040,<0>  ,0.0030,<0>  ,0.1600,<0>  ,0.1630,<0>  ,0.4800,<0>  ,
"soschnut  ","P",01/21/2009 15:31,1,1,1         ,3         ,"{TSL}",0.0330,<0>  ,0.0350,<0>  ,0.0040,<0>  ,0.1840,<0>  ,0.1880,<0>  ,1.3700,<0>  ,
"soschnut  ","P",01/21/2009 18:00,1,1,2         ,1         ,"",0.0360,<0>  ,0.0150,<0>  ,0.0040,<0>  ,0.2310,<0>  ,0.2350,<0>  ,0.8200,<0>  ,
"soschnut  ","P",01/21/2009 20:30,1,1,2         ,1         ,"",0.0420,<0>  ,0.0100,<0>  ,0.0030,<0>  ,0.2770,<0>  ,0.2800,<0>  ,2.3900,<0>  ,
"soschnut  ","P",01/21/2009 23:00,1,1,2         ,1         ,"",0.0480,<0>  ,0.0007,<-4> [SBL] ,0.0040,<0>  ,0.2740,<0>  ,0.2780,<0>  ,1.4100,<0>  ,
