"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmpcnut  ","P",03/13/2006 20:00,1,1,2         ,1         ,"",0.0190,<4>  ,0.0180,<4>  ,0.0039,<4>  ,0.0008,<4>  ,0.0047,<4>  ,7.6000,<4>  ,
"gtmpcnut  ","P",03/13/2006 22:30,1,1,2         ,1         ,"",0.0170,<4>  ,0.0120,<4>  ,0.0033,<4>  ,0.0017,<4>  ,0.0050,<4>  ,3.4000,<4>  ,
"gtmpcnut  ","P",03/14/2006 1:00,1,1,2         ,1         ,"",0.0200,<4>  ,0.0320,<4>  ,0.0034,<4>  ,0.0017,<4>  ,0.0051,<4>  ,3.0000,<4>  ,
"gtmpcnut  ","P",03/14/2006 3:30,1,1,2         ,1         ,"",0.0280,<4>  ,0.0240,<4>  ,0.0034,<4>  ,0.0075,<4>  ,0.0109,<4>  ,3.6000,<4>  ,
"gtmpcnut  ","P",03/14/2006 6:00,1,1,2         ,1         ,"",0.0360,<4>  ,0.0210,<4>  ,0.0039,<4>  ,0.0069,<4>  ,0.0108,<4>  ,5.1000,<4>  ,
"gtmpcnut  ","P",03/14/2006 8:30,1,1,2         ,1         ,"",0.0300,<4>  ,0.0300,<4>  ,0.0037,<4>  ,0.0023,<4>  ,0.0060,<4>  ,2.8000,<4>  ,
"gtmpcnut  ","P",03/14/2006 11:00,1,1,2         ,1         ,"",0.0260,<4>  ,0.0480,<4>  ,0.0039,<4>  ,0.0086,<4>  ,0.0125,<4>  ,2.7000,<4>  ,
"gtmpcnut  ","P",03/14/2006 13:30,1,1,2         ,1         ,"",0.0230,<4>  ,0.0110,<4>  ,0.0031,<4>  ,0.0020,<4>  ,0.0051,<4>  ,3.5000,<4>  ,
"gtmpcnut  ","P",03/14/2006 18:01,1,1,1         ,1         ,"",0.0270,<4>  ,0.0480,<4>  ,0.0030,<4>  ,0.0034,<4>  ,0.0064,<4>  ,5.4000,<4>  ,
"gtmpcnut  ","P",03/14/2006 18:02,1,1,1         ,2         ,"",0.0260,<4>  ,0.0360,<4>  ,0.0028,<4>  ,0.0040,<4>  ,0.0068,<4>  ,4.9000,<4>  ,
"gtmpcnut  ","P",04/11/2006 11:30,1,1,2         ,1         ,"",0.0020,<4>  ,0.0120,<4>  ,0.0014,<-4> [SBL] ,"",<-4> [SCB] ,0.0018,<4>  ,3.7000,<4>  ,
"gtmpcnut  ","P",04/11/2006 14:00,1,1,2         ,1         ,"",0.0020,<4>  ,0.0080,<4>  ,0.0014,<-4> [SBL] ,"",<-4> [SCB] ,0.0025,<4>  ,4.6000,<4>  ,
"gtmpcnut  ","P",04/11/2006 16:30,1,1,2         ,1         ,"",0.0030,<4>  ,0.0080,<-4> [SBL] ,0.0014,<-4> [SBL] ,"",<-4> [SCB] ,0.0018,<4>  ,5.8000,<4>  ,
"gtmpcnut  ","P",04/11/2006 19:00,1,1,2         ,1         ,"",0.0040,<4>  ,0.0130,<4>  ,0.0014,<-4> [SBL] ,"",<-4> [SCB] ,0.0022,<4>  ,3.1000,<4>  ,
"gtmpcnut  ","P",04/11/2006 21:30,1,1,2         ,1         ,"",0.0030,<4>  ,0.0240,<4>  ,0.0014,<-4> [SBL] ,"",<-4> [SCB] ,0.0031,<4>  ,2.0000,<4>  ,
"gtmpcnut  ","P",04/12/2006 0:00,1,1,2         ,1         ,"",0.0030,<4>  ,0.0130,<4>  ,0.0014,<-4> [SBL] ,"",<-4> [SCB] ,0.0031,<4>  ,2.5000,<4>  ,
