"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmpcnut  ","P",01/04/2022 14:32,1,1,1         ,1         ,"",0.0250,<0>  ,0.0320,<0>  ,"","","","",0.0200,<0>  ,6.0000,<0>  ,
"gtmpcnut  ","P",01/04/2022 14:35,1,1,1         ,2         ,"",0.0260,<0>  ,0.0320,<0>  ,"","","","",0.0190,<0>  ,5.9000,<1> (CSM) ,
"gtmpcnut  ","P",01/17/2022 9:30,1,1,2         ,1         ,"",0.0420,<1> (CHB) ,0.0350,<0>  ,"","","","",0.0110,<0>  ,1.7000,<1> (CHB) ,
"gtmpcnut  ","P",01/17/2022 12:00,1,1,2         ,1         ,"",0.0370,<0>  ,0.0310,<0>  ,"","","","",0.0120,<0>  ,2.4000,<0>  ,
"gtmpcnut  ","P",01/17/2022 14:30,1,1,2         ,1         ,"",0.0370,<0>  ,0.0290,<0>  ,"","","","",0.0100,<0>  ,3.2000,<0>  ,
"gtmpcnut  ","P",01/17/2022 17:00,1,1,2         ,1         ,"",0.0390,<0>  ,0.0190,<0>  ,"","","","",0.0130,<0>  ,8.1000,<0>  ,
"gtmpcnut  ","P",01/17/2022 19:30,1,1,2         ,1         ,"",0.0410,<0>  ,0.0290,<0>  ,"","","","",0.0130,<0>  ,3.3000,<0>  ,
"gtmpcnut  ","P",01/17/2022 22:00,1,1,2         ,1         ,"",0.0420,<0>  ,0.0280,<0>  ,"","","","",0.0130,<0>  ,2.3000,<0>  ,
"gtmpcnut  ","P",01/18/2022 0:30,1,1,2         ,1         ,"",0.0400,<0>  ,0.0330,<0>  ,"","","","",0.0140,<0>  ,1.9000,<0>  ,
"gtmpcnut  ","P",01/18/2022 3:00,1,1,2         ,1         ,"",0.0390,<0>  ,0.0310,<0>  ,"","","","",0.0150,<0>  ,2.6000,<0>  ,
"gtmpcnut  ","P",01/18/2022 5:30,1,1,2         ,1         ,"",0.0410,<0>  ,0.0380,<0>  ,"","","","",0.0140,<0>  ,1.6000,<-4> [SBL] ,
"gtmpcnut  ","P",01/18/2022 8:00,1,1,2         ,1         ,"",0.0450,<0>  ,0.0360,<0>  ,"","","","",0.0150,<0>  ,1.6000,<-4> [SBL] ,
"gtmpcnut  ","P",01/18/2022 10:30,1,1,2         ,1         ,"",0.0360,<0>  ,0.0360,<0>  ,"","","","",0.0160,<0>  ,3.2000,<0>  ,
"gtmpcnut  ","P",02/01/2022 13:45,1,1,1         ,1         ,"",0.0200,<0>  ,0.0040,<0>  ,"","","","",0.0040,<-4> [SBL] ,1.5000,<0>  ,
"gtmpcnut  ","P",02/01/2022 13:47,1,1,1         ,2         ,"",0.0190,<0>  ,0.0030,<0>  ,"","","","",0.0040,<-4> [SBL] ,1.6000,<0>  ,
"gtmpcnut  ","P",02/14/2022 9:30,1,1,2         ,1         ,"",0.0230,<1> (CHB) ,0.0220,<0>  ,"","","","",0.0040,<-4> [SBL] ,2.9000,<0>  ,
"gtmpcnut  ","P",02/14/2022 12:00,1,1,2         ,1         ,"",0.0230,<0>  ,0.0110,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.2000,<0>  ,
"gtmpcnut  ","P",02/14/2022 14:30,1,1,2         ,1         ,"",0.0270,<0>  ,0.0140,<0>  ,"","","","",0.0040,<-4> [SBL] ,4.2000,<0>  ,
"gtmpcnut  ","P",02/14/2022 17:00,1,1,2         ,1         ,"",0.0320,<0>  ,0.0150,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.7000,<0>  ,
"gtmpcnut  ","P",02/14/2022 19:30,1,1,2         ,1         ,"",0.0320,<0>  ,0.0120,<0>  ,"","","","",0.0040,<-4> [SBL] ,4.6000,<0>  ,
"gtmpcnut  ","P",02/14/2022 22:00,1,1,2         ,1         ,"",0.0270,<0>  ,0.0140,<0>  ,"","","","",0.0040,<-4> [SBL] ,2.1000,<0>  ,
"gtmpcnut  ","P",02/15/2022 0:30,1,1,2         ,1         ,"",0.0290,<0>  ,0.0140,<0>  ,"","","","",0.0040,<-4> [SBL] ,4.1000,<0>  ,
"gtmpcnut  ","P",02/15/2022 3:00,1,1,2         ,1         ,"",0.0320,<0>  ,0.0190,<0>  ,"","","","",0.0040,<-4> [SBL] ,4.1000,<0>  ,
"gtmpcnut  ","P",02/15/2022 5:30,1,1,2         ,1         ,"",0.0320,<0>  ,0.0190,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.9000,<0>  ,
"gtmpcnut  ","P",02/15/2022 8:00,1,1,2         ,1         ,"",0.0340,<0>  ,0.0150,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.3000,<0>  ,
"gtmpcnut  ","P",02/15/2022 10:30,1,1,2         ,1         ,"",0.0240,<0>  ,0.0100,<0>  ,"","","","",0.0040,<0>  ,3.1000,<0>  ,
"gtmpcnut  ","P",03/02/2022 13:30,1,1,1         ,1         ,"",0.0270,<0>  ,0.0090,<0>  ,"","","","",0.0040,<-4> [SBL] ,4.4000,<0>  ,
"gtmpcnut  ","P",03/02/2022 13:32,1,1,1         ,2         ,"",0.0260,<0>  ,0.0060,<0>  ,"","","","",0.0040,<-4> [SBL] ,4.4000,<0>  ,
"gtmpcnut  ","P",03/14/2022 8:30,1,1,2         ,1         ,"",0.0410,<1> (CHB) ,0.0310,<0>  ,"","","","",0.0190,<0>  ,3.5000,<1> (CHB) ,
"gtmpcnut  ","P",03/14/2022 11:00,1,1,2         ,1         ,"",0.0450,<1> (CHB) ,0.0380,<0>  ,"","","","",0.0130,<0>  ,2.0000,<0>  ,
"gtmpcnut  ","P",03/14/2022 13:30,1,1,2         ,1         ,"",0.0360,<0>  ,0.0210,<0>  ,"","","","",0.0100,<0>  ,2.0000,<0>  ,
"gtmpcnut  ","P",03/14/2022 16:00,1,1,2         ,1         ,"",0.0370,<0>  ,0.0230,<0>  ,"","","","",0.0090,<0>  ,1.9000,<0>  ,
"gtmpcnut  ","P",03/14/2022 18:30,1,1,2         ,1         ,"",0.0400,<0>  ,0.0300,<0>  ,"","","","",0.0120,<0>  ,4.9000,<0>  ,
"gtmpcnut  ","P",03/14/2022 21:00,1,1,2         ,1         ,"",0.0410,<0>  ,0.0340,<0>  ,"","","","",0.0130,<0>  ,2.9000,<0>  ,
"gtmpcnut  ","P",03/14/2022 23:30,1,1,2         ,1         ,"",0.0380,<0>  ,0.0300,<0>  ,"","","","",0.0100,<0>  ,1.6000,<0>  ,
"gtmpcnut  ","P",03/15/2022 2:00,1,1,2         ,1         ,"",0.0350,<0>  ,0.0260,<0>  ,"","","","",0.0100,<0>  ,1.6000,<-4> [SBL] ,
"gtmpcnut  ","P",03/15/2022 4:30,1,1,2         ,1         ,"",0.0340,<0>  ,0.0250,<0>  ,"","","","",0.0090,<0>  ,1.2000,<0>  ,
"gtmpcnut  ","P",03/15/2022 7:00,1,1,2         ,1         ,"",0.0390,<0>  ,0.0330,<0>  ,"","","","",0.0120,<0>  ,3.2000,<0>  ,
"gtmpcnut  ","P",03/15/2022 9:30,1,1,2         ,1         ,"",0.0400,<0>  ,0.0470,<0>  ,"","","","",0.0070,<0>  ,3.8000,<0>  ,
"gtmpcnut  ","P",04/13/2022 12:16,1,1,1         ,1         ,"",0.0340,<0>  ,0.0170,<0>  ,"","","","",0.0120,<0>  ,1.9000,<-4> [SBL] ,
"gtmpcnut  ","P",04/13/2022 12:18,1,1,1         ,2         ,"",0.0360,<0>  ,0.0170,<0>  ,"","","","",0.0110,<0>  ,1.9000,<-4> [SBL] ,
"gtmpcnut  ","P",04/18/2022 8:30,1,1,2         ,1         ,"",0.0400,<1> (CHB) ,0.0130,<0>  ,"","","","",0.0210,<0>  ,"",<-2> [GDM] (CHB) ,
"gtmpcnut  ","P",04/18/2022 11:00,1,1,2         ,1         ,"",0.0400,<0>  ,0.0180,<0>  ,"","","","",0.0250,<0>  ,3.1000,<0>  ,
"gtmpcnut  ","P",04/18/2022 13:30,1,1,2         ,1         ,"",0.0420,<0>  ,0.0180,<0>  ,"","","","",0.0230,<0>  ,2.9000,<0>  ,
"gtmpcnut  ","P",04/18/2022 16:00,1,1,2         ,1         ,"",0.0340,<0>  ,0.0080,<0>  ,"","","","",0.0200,<0>  ,2.2000,<0>  ,
"gtmpcnut  ","P",04/18/2022 18:30,1,1,2         ,1         ,"",0.0260,<0>  ,0.0080,<0>  ,"","","","",0.0150,<0>  ,1.9000,<0>  ,
"gtmpcnut  ","P",04/18/2022 21:00,1,1,2         ,1         ,"",0.0250,<0>  ,0.0070,<0>  ,"","","","",0.0130,<0>  ,1.7000,<0>  ,
"gtmpcnut  ","P",04/18/2022 23:30,1,1,2         ,1         ,"",0.0330,<0>  ,0.0260,<0>  ,"","","","",0.0230,<0>  ,2.4000,<0>  ,
"gtmpcnut  ","P",04/19/2022 2:00,1,1,2         ,1         ,"",0.0310,<0>  ,0.0600,<0>  ,"","","","",0.0150,<0>  ,3.6000,<0>  ,
"gtmpcnut  ","P",04/19/2022 4:30,1,1,2         ,1         ,"",0.0260,<0>  ,0.0160,<0>  ,"","","","",0.0140,<0>  ,2.1000,<0>  ,
"gtmpcnut  ","P",04/19/2022 7:00,1,1,2         ,1         ,"",0.0240,<0>  ,0.0190,<0>  ,"","","","",0.0040,<-4> [SBL] ,1.9000,<0>  ,
"gtmpcnut  ","P",04/19/2022 9:30,1,1,2         ,1         ,"",0.0230,<0>  ,0.0220,<0>  ,"","","","",0.0040,<-4> [SBL] ,1.6000,<0>  ,
"gtmpcnut  ","P",05/02/2022 12:51,1,1,1         ,1         ,"",0.0340,<0>  ,0.0330,<0>  ,"","","","",0.0150,<0>  ,10.0000,<0>  ,
"gtmpcnut  ","P",05/02/2022 12:53,1,1,1         ,2         ,"",0.0340,<0>  ,0.0300,<0>  ,"","","","",0.0170,<0>  ,10.0000,<0>  ,
"gtmpcnut  ","P",05/16/2022 8:30,1,1,2         ,1         ,"",0.0100,<1> (CHB) ,0.0150,<0>  ,"","","","",0.0040,<-4> [SBL] ,7.0000,<1> (CHB) ,
"gtmpcnut  ","P",05/16/2022 11:00,1,1,2         ,1         ,"",0.0170,<1> (CHB) ,0.0060,<0>  ,"","","","",0.0040,<-4> [SBL] ,7.2000,<0>  ,
"gtmpcnut  ","P",05/16/2022 13:30,1,1,2         ,1         ,"",0.0170,<1> (CHB) ,0.0050,<0>  ,"","","","",0.0040,<-4> [SBL] ,9.4000,<1> (CSM) ,
"gtmpcnut  ","P",05/16/2022 16:00,1,1,2         ,1         ,"",0.0130,<0>  ,0.0070,<0>  ,"","","","",0.0040,<-4> [SBL] ,9.5000,<0>  ,
"gtmpcnut  ","P",05/16/2022 18:30,1,1,2         ,1         ,"",0.0120,<0>  ,0.0070,<0>  ,"","","","",0.0040,<-4> [SBL] ,9.3000,<0>  ,
"gtmpcnut  ","P",05/16/2022 21:00,1,1,2         ,1         ,"",0.0100,<0>  ,0.0070,<0>  ,"","","","",0.0040,<-4> [SBL] ,7.0000,<0>  ,
"gtmpcnut  ","P",05/16/2022 23:30,1,1,2         ,1         ,"",0.0180,<0>  ,0.0040,<0>  ,"","","","",0.0040,<-4> [SBL] ,5.2000,<0>  ,
"gtmpcnut  ","P",05/17/2022 2:00,1,1,2         ,1         ,"",0.0180,<0>  ,0.0060,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.9000,<0>  ,
"gtmpcnut  ","P",05/17/2022 4:30,1,1,2         ,1         ,"",0.0150,<0>  ,0.0140,<0>  ,"","","","",0.0040,<-4> [SBL] ,5.8000,<0>  ,
