"StationCode","isSWMP","DatetimeStamp","Historical","ProvisionalPlus","Frequency","F_Record","ATemp","F_ATemp","RH","F_RH","BP","F_BP","WSpd","F_WSpd","MaxWSpd","F_MaxWSpd","MaxWSpdT","Wdir","F_Wdir","SDWDir","F_SDWDir","TotPAR","F_TotPAR","TotPrcp","F_TotPrcp","TotSoRad","F_TotSoRad",
"sostcmet  ","P",01/01/2025 0:00,0,1,15,"",5.9,<0> ,100,<0> ,1018,<0> ,0.0,<0> ,0.2,<0> ,"23:45",107,<0> ,0,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 0:15,0,1,15,"",5.9,<0> ,100,<0> ,1018,<0> ,0.0,<0> ,0.0,<0> ,"00:00",0,<0> ,0,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 0:30,0,1,15,"",6.0,<0> ,100,<0> ,1018,<0> ,0.1,<0> ,0.6,<0> ,"00:27",64,<0> ,6,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 0:45,0,1,15,"",6.0,<0> ,100,<0> ,1018,<0> ,0.2,<0> ,0.7,<0> ,"00:42",76,<0> ,27,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 1:00,0,1,15,"",6.0,<0> ,100,<0> ,1018,<0> ,0.2,<0> ,0.8,<0> ,"00:58",66,<0> ,10,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 1:15,0,1,15,"",6.0,<0> ,100,<0> ,1018,<0> ,0.4,<0> ,2.6,<0> ,"01:13",47,<0> ,53,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 1:30,0,1,15,"",6.5,<0> ,100,<0> ,1018,<0> ,0.9,<0> ,2.4,<0> ,"01:22",106,<0> ,42,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 1:45,0,1,15,"",7.1,<0> ,100,<0> ,1018,<0> ,0.6,<0> ,2.2,<0> ,"01:30",105,<0> ,42,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 2:00,0,1,15,"",6.9,<0> ,100,<0> ,1018,<0> ,0.6,<0> ,1.3,<0> ,"01:47",85,<0> ,29,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 2:15,0,1,15,"",7.0,<0> ,100,<0> ,1018,<0> ,0.7,<0> ,1.6,<0> ,"02:00",89,<0> ,26,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 2:30,0,1,15,"",7.5,<0> ,100,<0> ,1018,<0> ,1.3,<0> ,5.2,<0> ,"02:25",158,<0> ,50,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 2:45,0,1,15,"",8.2,<0> ,100,<0> ,1018,<0> ,1.9,<0> ,4.7,<0> ,"02:37",171,<0> ,35,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 3:00,0,1,15,"",8.4,<0> ,100,<0> ,1018,<0> ,2.4,<0> ,5.9,<0> ,"02:54",173,<0> ,35,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 3:15,0,1,15,"",8.6,<0> ,99,<0> ,1018,<0> ,1.8,<0> ,4.7,<0> ,"03:01",183,<0> ,29,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 3:30,0,1,15,"",8.6,<0> ,99,<0> ,1018,<0> ,0.7,<0> ,2.2,<0> ,"03:15",155,<0> ,46,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 3:45,0,1,15,"",8.4,<0> ,99,<0> ,1018,<0> ,0.4,<0> ,2.0,<0> ,"03:39",108,<0> ,39,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 4:00,0,1,15,"",8.3,<0> ,99,<0> ,1018,<0> ,0.3,<0> ,2.1,<0> ,"03:59",135,<0> ,48,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 4:15,0,1,15,"",8.3,<0> ,99,<0> ,1018,<0> ,0.3,<0> ,1.8,<0> ,"04:01",156,<0> ,26,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 4:30,0,1,15,"",8.1,<0> ,99,<0> ,1018,<0> ,0.0,<0> ,0.4,<0> ,"04:15",43,<0> ,2,<0> ,0.0,<0> ,0.5,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 4:45,0,1,15,"",8.0,<0> ,99,<0> ,1018,<0> ,0.1,<0> ,0.9,<0> ,"04:37",124,<0> ,21,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 5:00,0,1,15,"",8.6,<0> ,100,<0> ,1017,<0> ,2.0,<0> ,6.4,<0> ,"04:54",210,<0> ,49,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 5:15,0,1,15,"",9.3,<0> ,99,<0> ,1017,<0> ,3.1,<0> ,7.0,<0> ,"05:12",181,<0> ,29,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 5:30,0,1,15,"",9.4,<0> ,99,<0> ,1017,<0> ,3.0,<0> ,7.9,<0> ,"05:18",183,<0> ,26,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 5:45,0,1,15,"",9.4,<0> ,99,<0> ,1017,<0> ,2.0,<0> ,5.0,<0> ,"05:37",173,<0> ,39,<0> ,0.0,<0> ,0.3,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 6:00,0,1,15,"",9.3,<0> ,98,<0> ,1017,<0> ,1.7,<0> ,3.6,<0> ,"05:52",175,<0> ,40,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 6:15,0,1,15,"",9.2,<0> ,98,<0> ,1017,<0> ,1.5,<0> ,4.1,<0> ,"06:06",167,<0> ,39,<0> ,0.0,<0> ,0.3,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 6:30,0,1,15,"",9.1,<0> ,98,<0> ,1017,<0> ,0.7,<0> ,2.3,<0> ,"06:19",164,<0> ,43,<0> ,0.0,<0> ,0.0,<0> ,"",<-1> ,
"sostcmet  ","P",01/01/2025 6:45,0,1,15,"",9.1,<0> ,98,<0> ,1017,<0> ,0.4,<0> ,1.4,<0> ,"06:43",108,<0> ,29,<0> ,0.0,<0> ,0.3,<0> ,"",<-1> ,
