"StationCode","isSWMP","DatetimeStamp","Historical","ProvisionalPlus","Frequency","F_Record","ATemp","F_ATemp","RH","F_RH","BP","F_BP","WSpd","F_WSpd","MaxWSpd","F_MaxWSpd","MaxWSpdT","Wdir","F_Wdir","SDWDir","F_SDWDir","TotPAR","F_TotPAR","TotPrcp","F_TotPrcp","TotSoRad","F_TotSoRad",
"gtmpcmet  ","P",09/01/2002 0:15,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"gtmpcmet  ","P",09/01/2002 0:30,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"gtmpcmet  ","P",09/01/2002 0:45,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"gtmpcmet  ","P",09/01/2002 1:00,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"gtmpcmet  ","P",09/01/2002 1:15,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"gtmpcmet  ","P",09/01/2002 1:30,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"gtmpcmet  ","P",09/01/2002 1:45,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"gtmpcmet  ","P",09/01/2002 2:00,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"gtmpcmet  ","P",09/01/2002 2:15,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"gtmpcmet  ","P",09/01/2002 2:30,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"gtmpcmet  ","P",09/01/2002 2:45,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"gtmpcmet  ","P",09/01/2002 3:00,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"gtmpcmet  ","P",09/01/2002 3:15,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"gtmpcmet  ","P",09/01/2002 3:30,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"gtmpcmet  ","P",09/01/2002 3:45,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"gtmpcmet  ","P",09/01/2002 4:00,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"gtmpcmet  ","P",09/01/2002 4:15,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
