"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmpcnut  ","P",01/11/2021 9:30,1,1,2         ,1         ,"",0.0230,<1> (CHB) ,0.0120,<0>  ,"","","","",0.0040,<-4> [SBL] ,1.8000,<1> (CHB) ,
"gtmpcnut  ","P",01/11/2021 12:00,1,1,2         ,1         ,"",0.0240,<1> (CHB) ,0.0070,<0>  ,"","","","",0.0040,<-4> [SBL] ,1.7000,<1> (CHB) ,
"gtmpcnut  ","P",01/11/2021 14:30,1,1,2         ,1         ,"",0.0300,<0>  ,0.0060,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.5000,<0>  ,
"gtmpcnut  ","P",01/11/2021 17:00,1,1,2         ,1         ,"",0.0330,<0>  ,0.0100,<0>  ,"","","","",0.0050,<0>  ,3.1000,<0>  ,
"gtmpcnut  ","P",01/11/2021 19:30,1,1,2         ,1         ,"",0.0330,<0>  ,0.0080,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.7000,<0>  ,
"gtmpcnut  ","P",01/11/2021 22:00,1,1,2         ,1         ,"",0.0270,<0>  ,0.0050,<0>  ,"","","","",0.0040,<-4> [SBL] ,2.1000,<0>  ,
"gtmpcnut  ","P",01/12/2021 0:30,1,1,2         ,1         ,"",0.0300,<0>  ,0.0080,<0>  ,"","","","",0.0070,<0>  ,2.7000,<0>  ,
"gtmpcnut  ","P",01/12/2021 3:00,1,1,2         ,1         ,"",0.0310,<0>  ,0.0080,<0>  ,"","","","",0.0070,<0>  ,4.2000,<0>  ,
"gtmpcnut  ","P",01/12/2021 5:30,1,1,2         ,1         ,"",0.0340,<0>  ,0.0160,<0>  ,"","","","",0.0050,<0>  ,1.8000,<0>  ,
"gtmpcnut  ","P",01/12/2021 8:00,1,1,2         ,1         ,"",0.0340,<0>  ,0.0130,<0>  ,"","","","",0.0040,<-4> [SBL] ,2.2000,<0>  ,
"gtmpcnut  ","P",01/12/2021 10:30,1,1,2         ,1         ,"",0.0240,<0>  ,0.0040,<0>  ,"","","","",0.0040,<-4> [SBL] ,2.0000,<0>  ,
"gtmpcnut  ","P",01/12/2021 12:03,1,1,1         ,1         ,"",0.0230,<0>  ,0.0070,<0>  ,"","","","",0.0040,<-4> [SBL] ,1.8000,<0>  ,
"gtmpcnut  ","P",01/12/2021 12:07,1,1,1         ,2         ,"",0.0220,<0>  ,0.0070,<0>  ,"","","","",0.0040,<-4> [SBL] ,1.8000,<0>  ,
"gtmpcnut  ","P",02/08/2021 9:30,1,1,2         ,1         ,"",0.0360,<1> (CHB) ,0.0150,<0>  ,"","","","",0.0070,<0>  ,3.0000,<1> (CHB) ,
"gtmpcnut  ","P",02/08/2021 12:00,1,1,2         ,1         ,"",0.0430,<0>  ,0.0070,<0>  ,"","","","",0.0060,<0>  ,5.1000,<0>  ,
"gtmpcnut  ","P",02/08/2021 14:30,1,1,2         ,1         ,"",0.0370,<0>  ,0.0070,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.0000,<0>  ,
"gtmpcnut  ","P",02/08/2021 17:00,1,1,2         ,1         ,"",0.0330,<0>  ,0.0070,<0>  ,"","","","",0.0040,<-4> [SBL] ,1.9000,<0>  ,
"gtmpcnut  ","P",02/08/2021 19:30,1,1,2         ,1         ,"",0.0380,<0>  ,0.0070,<0>  ,"","","","",0.0060,<0>  ,2.9000,<0>  ,
"gtmpcnut  ","P",02/08/2021 22:00,1,1,2         ,1         ,"",0.0370,<0>  ,0.0050,<0>  ,"","","","",0.0060,<0>  ,2.9000,<0>  ,
"gtmpcnut  ","P",02/09/2021 0:30,1,1,2         ,1         ,"",0.0320,<0>  ,0.0090,<0>  ,"","","","",0.0070,<0>  ,1.3000,<0>  ,
"gtmpcnut  ","P",02/09/2021 3:00,1,1,2         ,1         ,"",0.0300,<0>  ,0.0110,<0>  ,"","","","",0.0070,<0>  ,1.0000,<0>  ,
"gtmpcnut  ","P",02/09/2021 5:30,1,1,2         ,1         ,"",0.0300,<0>  ,0.0130,<0>  ,"","","","",0.0080,<0>  ,1.6000,<-4> [SBL] ,
"gtmpcnut  ","P",02/09/2021 8:00,1,1,2         ,1         ,"",0.0340,<0>  ,0.0200,<0>  ,"","","","",0.0040,<-4> [SBL] ,6.7000,<0>  ,
"gtmpcnut  ","P",02/09/2021 10:30,1,1,2         ,1         ,"",0.0260,<0>  ,0.0180,<0>  ,"","","","",0.0040,<-4> [SBL] ,1.5000,<0>  ,
"gtmpcnut  ","P",02/09/2021 10:48,1,1,1         ,1         ,"",0.0280,<0>  ,0.0160,<0>  ,"","","","",0.0040,<-4> [SBL] ,2.4000,<0>  ,
"gtmpcnut  ","P",02/09/2021 10:51,1,1,1         ,2         ,"",0.0280,<0>  ,0.0140,<0>  ,"","","","",0.0040,<-4> [SBL] ,2.8000,<0>  ,
"gtmpcnut  ","P",03/09/2021 9:30,1,1,2         ,1         ,"",0.0290,<1> (CHB) ,0.0190,<0>  ,"","","","",0.0080,<0>  ,1.9000,<1> (CHB) ,
"gtmpcnut  ","P",03/09/2021 12:00,1,1,2         ,1         ,"",0.0340,<1> (CHB) ,0.0260,<0>  ,"","","","",0.0080,<0>  ,2.4000,<0>  ,
"gtmpcnut  ","P",03/09/2021 14:30,1,1,2         ,1         ,"",0.0380,<0>  ,0.0220,<0>  ,"","","","",0.0180,<0>  ,1.8000,<0>  ,
"gtmpcnut  ","P",03/09/2021 17:00,1,1,2         ,1         ,"",0.0370,<0>  ,0.0140,<0>  ,"","","","",0.0170,<0>  ,2.2000,<0>  ,
"gtmpcnut  ","P",03/09/2021 19:30,1,1,2         ,1         ,"",0.0330,<0>  ,0.0200,<0>  ,"","","","",0.0070,<0>  ,2.8000,<0>  ,
"gtmpcnut  ","P",03/09/2021 22:00,1,1,2         ,1         ,"",0.0350,<0>  ,0.0220,<0>  ,"","","","",0.0090,<0>  ,2.0000,<0>  ,
"gtmpcnut  ","P",03/10/2021 0:30,1,1,2         ,1         ,"",0.0360,<0>  ,0.0270,<0>  ,"","","","",0.0110,<0>  ,1.6000,<0>  ,
"gtmpcnut  ","P",03/10/2021 3:00,1,1,2         ,1         ,"",0.0370,<0>  ,0.0240,<0>  ,"","","","",0.0200,<0>  ,1.5000,<0>  ,
"gtmpcnut  ","P",03/10/2021 5:30,1,1,2         ,1         ,"",0.0410,<0>  ,0.0230,<0>  ,"","","","",0.0190,<0>  ,"",<-2> (CSM) ,
"gtmpcnut  ","P",03/10/2021 8:00,1,1,2         ,1         ,"",0.0320,<0>  ,0.0240,<0>  ,"","","","",0.0070,<0>  ,3.5000,<0>  ,
"gtmpcnut  ","P",03/10/2021 10:28,1,1,1         ,1         ,"",0.0280,<0>  ,0.0210,<0>  ,"","","","",0.0040,<0>  ,3.3000,<0>  ,
