"reserve","station","do_pct_trend","domgl_trend","temp_trend","spcond_trend","turb_trend","chla_trend","po4f_trend","nh4f_trend","no23f_trend","do_pct_intcpt","domgl_intcpt","temp_intcpt","spcond_intcpt","turb_intcpt","chla_intcpt","po4f_intcpt","nh4f_intcpt","no23f_intcpt"
"apa","apaes",-0.173512169880841,-0.0188389054320338,0.0481409244761079,-0.0815300108389439,0.06539415385763,0.0126800020718073,-0.0357575097755099,-0.0334079903015276,-0.0305398559719748,429.825891550974,44.5749486884941,-73.5498752160926,178.606392576355,-121.872932798248,-23.3169026997009,65.8680358489548,63.3961258924792,57.6048338609739
"cbm","cbmip",-0.113678130930078,-0.0143868481131838,0.0272125312298297,0.00343401044993637,0.0718623131970013,-0.0521406595087107,-0.0812829397678966,-0.0067815604681813,-0.0359730909057022,313.344248977177,37.5284427915283,-39.2460450538842,-6.45612629915967,-132.754632523129,106.123970724495,160.555386959159,10.8069440934403,71.3791062003518
"cbm","cbmmc",0.826103670975187,0.0767460630020509,0.0354366520117902,-0.000244880604466894,0.593453589871436,0.0296771489065712,0.0129109554434372,0.00648920151880126,-0.0149496852455474,-1589.67354855709,-146.709099701962,-56.5140252777189,0.78787674477313,-1175.02040155274,-57.7903228997835,-30.2252827785841,-16.1407590598678,28.4213054981602
"cbm","cbmoc",-0.331708387094298,-0.0338364017489159,0.0254713576161198,0.0270159652897439,-0.768985433056107,-0.00781930314418144,-0.0229308589154633,-0.00525512114264689,-0.0146048594203529,763.241075120654,77.6510163466802,-35.1629751005055,-53.4433638246846,1576.76144623617,18.8360336618322,40.6452203144572,7.38812648970272,28.6886443528272
"cbm","cbmrr",-0.225940975540086,-0.0314374902869276,0.0533429083363682,0.00274230513782411,0.0886925153582716,-0.0190767955378734,-0.0324117626942835,-0.0174304018171011,-0.0358897169742172,538.133962422684,71.946337932999,-92.142991936831,-5.14961066301365,-158.499490037172,40.502370426038,61.1145881426709,32.1532747368349,71.6687782280057
"cbv","cbvcb",-0.211547676787317,-0.0282928570173459,0.0528609857590373,-0.024827443751216,-0.0247710874563683,0.03137382730982,0.0241273308118857,-0.0250123773586265,0.0220707928649749,519.65686001571,65.5570228670325,-89.4329755547291,76.6410294144016,61.8937219614384,-61.0150240200751,-53.0259615766178,46.8055690598379,-49.1177981076273
"cbv","cbvgi",0.00149870513445838,-0.0124815086906378,0.044954945388684,-0.0274885215335267,-0.0180033271439129,0.00998295688585973,0.051981615824459,-0.0383551697311911,-0.0151043083033627,99.905840601316,34.345236143267,-73.6765162251386,86.7445754711986,40.6335929076292,-18.5694870407082,-109.821135249765,73.8130500503054,23.7589124918035
"cbv","cbvtc",-0.199301414819508,-0.0277711971849502,0.0465706517696891,-0.045220875095366,-0.617704445058979,0.0058253457335203,0.0210256610043564,0.0438329813100244,0.0822302441819775,487.336611976236,64.0596562317739,-76.6660020530769,109.995033594499,1284.71162266687,-9.44115595576249,-45.8596800930205,-91.4852001288704,-169.242596666723
"del","delbl",0.441838195657848,0.0382620413290768,0.031524810617897,-0.000581059625601616,-0.417348794651821,0.0885471790649641,0.0193079583444552,0.00472818228150935,-0.0113989742356482,-807.458562039792,-68.4798688706705,-47.8397998907012,4.55490507235988,882.057278048105,-175.255300685063,-43.1319865260844,-12.822075945994,20.5723462480349
"del","delds",-0.215510716633053,-0.0270087833784278,0.0412161632854332,-0.000729373748733484,-0.196163479127515,0.0398536888962972,0.0656852164714078,0.0119935877226747,0.012549714382205,513.505535474303,62.6888359475851,-67.2528170416203,1.65073947085657,405.947934217672,-77.1968615109507,-136.54271542384,-27.2039778676594,-26.7072092431996
"del","delll",-0.409623555063978,-0.0438224821327628,0.0441440762295412,-0.0255277247741342,-0.668184121710472,0.0344663633071686,0.0149700042187107,0.0124502598273618,0.0109038479224816,897.194591503625,95.7568216935692,-73.5054298374707,57.3603300310914,1379.19673743649,-66.5566931288082,-33.924769536053,-27.5092994403504,-22.4496811256465
"del","delsl",-0.335340099234054,-0.0382500115283184,0.0493930160001104,-0.0156064274160348,-1.15355790026606,0.0421673450665094,0.00181782793773117,-0.00246042706937894,0.00104537067099688,743.813969310693,84.005670988434,-84.4349505999755,48.266358715065,2361.26870790228,-82.529066847386,-6.99777251660903,2.92453153113861,-2.70493422370684
"elk","elkap",-0.892642313168236,-0.0726495841204949,0.0458665741891781,0.0438725498653991,-0.117609529655064,0.049527064195026,-0.0256550555923166,0.00661006014175162,0.0117744102747145,1869.73343780283,152.154631385634,-75.8728628156751,-39.2373600017916,242.015731522775,-98.2718729742203,48.8335865648576,-16.1341538423204,-27.3235535396878
"elk","elknm",0.354526271529182,0.022959622903291,0.0326050325221121,0.0602097021136607,0.0053788695407176,0.0369328601033537,-0.00516796941534301,0.0336276047319265,0.0288620555269859,-639.229435381675,-40.2030253714534,-48.7138912417935,-72.1435229582261,-4.92988499431379,-72.6050069592971,7.23343366755901,-70.5157164861839,-60.9068890647092
"elk","elksm",0.234696355638323,0.0141947985850391,0.0411903432811631,0.0668701605889944,-0.116462128014107,0.0309999358263684,-0.0245299957431554,0.0177910898229985,0.00954420932462838,-387.17436006617,-21.6297159362106,-66.8414015471252,-85.1430033256861,240.711161212765,-61.1086849155302,46.2236677210422,-38.6270248612039,-21.5573120479363
"elk","elkvm",0.136116801609548,0.00675956045533518,0.0216350775891158,0.00884866269608201,-0.117626454389902,0.0440807806157865,-0.0289575337497193,0.0228060933897028,0.0279853348395284,-181.423433326199,-5.7619609223279,-29.5932240195162,31.9471822198747,240.884401397211,-87.8393894937269,54.987117050375,-48.7562215901194,-58.2363659066596
"gnd","gndbc",-0.387587828959351,-0.0251998701450245,0.0221023757579061,-0.405491459194181,-0.0668778222094578,0.0918339036360191,-0.0172894013268805,-0.0968026121155601,-0.0914213154496237,860.333865978078,56.9957354327533,-21.4548951807262,843.91457654203,143.48615171251,-183.09811672359,29.3011023297309,190.512515817722,179.063004347688
"gnd","gndbh",-0.216335657488753,-0.0158195694773018,-0.000580307273287394,-0.428971591273281,-0.0563398759811005,0.0828995569017068,-0.0292824243746763,-0.0818067510419275,-0.0695030068662041,481.196941742548,35.4853921391453,23.8505994179947,891.871222098704,120.631875395552,-165.466460223672,53.413475482664,161.216195261276,134.843616115171
