"station","year","month","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totprcp_nValid","totprcp_total","dailyPAR_nValid","dailyPAR_min","dailyPAR_median","dailyPAR_max","dailyPAR_mean","dailyPAR_sd","dailyPAR_iqr"
"gtmpcmet",2003,11,2160,4.7,19.6,27.8,18.6375462962963,5.00142568814339,6.8,2160,36,87,99,81.6490740740741,14.669936586049,23,2160,1007,1020,1028,1019.96851851852,3.7000719332078,4.25,2160,0,2.1,12.9,2.7362962962963,2.58378941656037,2.6,2160,0,3.7,17.2,4.32509259259259,3.43141495691241,4.2,2160,0,225,360,191.129166666667,114.043093685947,200.25,2160,31,23,930.3,28575.8,32451.8,24761.9695652174,8629.87235997649,4427.15
"gtmpcmet",2003,12,2975,-0.1,13.7,24.9,13.3483697478992,5.31290601022288,9.1,2975,22,82,100,79.1505882352941,15.7609766456698,23,2975,1004,1021,1033,1020.52672268908,4.89086083282057,7,2975,0,1.8,8.1,2.18053781512605,1.50968662708611,1.8,2975,0,3.3,11.5,3.76043697478992,2.29054762380621,3.2,2975,0,256,360,215.217142857143,106.721217195246,143,2975,72.8,31,9110.1,24571.1,29655.9,22636.6032258065,5500.78949560781,8913.95
"gtmpcmet",2004,1,2976,-0.7,13.3,26.6,12.8559139784946,5.36446997590123,7.925,2976,29,83,100,79.3219086021505,15.7347296821756,24,2976,1007,1021,1032,1020.34173387097,5.60706207327164,8,2976,0,1.7,9.7,2.21461693548387,1.64433472673552,1.9,2976,0,3.2,14.9,3.70940860215054,2.33714302062807,3.2,2976,0,248,360,212.911290322581,104.880828058967,130,2976,33.2,31,5220.5,26200.1,35972.4,24709.6290322581,8060.38688162438,7608.3
"gtmpcmet",2004,2,2784,2,14.2,28.1,13.7803879310345,4.79823558648955,4.9,2784,34,92,100,85.9913793103448,13.6429732743301,18,2784,1007,1020,1033,1019.85488505747,5.50168606969652,8,2784,0,2.5,8.9,2.89421695402299,1.86360810669408,2.3,2784,0,4.5,12.6,4.70010775862069,2.55981479856893,3.6,2784,0,227,360,191.666666666667,129.82429136467,283,2784,129.7,29,6787.7,27525.8,41241.1,24030.7310344828,11191.5525158201,20451.6
"gtmpcmet",2004,3,2973,4.9,18,28.8,17.5714766229398,4.43666743246936,6.1,2973,20,77,98,74.3128153380424,17.8115894656241,26,2976,1009,1023,1032,1022.32762096774,4.79613182921164,7,2976,0,2.2,10.5,2.57234543010753,1.968845929835,2.5,2976,0,3.7,13.8,4.13985215053763,2.70552832939491,3.9,2976,0,159,360,166.645161290323,98.5318022974003,169,2964,81.1,31,19008.9,42084.4,48832,38978.3483870968,7936.15549670708,11136.2
"gtmpcmet",2004,4,2880,7,20.3,29.2,19.1356597222222,4.65855134579176,6.325,2880,20,71,96,70.2506944444444,17.6562738949589,28,2880,1005,1018,1032,1017.70243055556,6.11320730654596,9,2880,0,2.3,6.2,2.36090277777778,1.41777992443437,2.2,2880,0,4,14,4.09690972222222,2.32086616645614,3.3,2880,0,188,359,181.865972222222,85.811756840858,141,2880,34.9,30,25717.7,50941.2,57307.9,47493.7766666667,9483.53189680473,12352.3
"gtmpcmet",2004,5,2976,11.1,23.9,35.6,23.7222782258065,3.49780017079782,4.4,2976,34,74,95,73.0430107526882,12.8063599565092,18,2976,1011,1021,1026,1019.78024193548,3.4556629069285,6,2976,0,2.7,8.3,2.7895497311828,1.7060510200179,3,2976,0,4.6,11.8,4.46226478494624,2.29787277114865,3.7,2976,0,143,356,162.292338709677,66.7508088021312,90,2976,39.6,31,17545.6,54633.9,57812,51628.5064516129,8250.73364370044,5548.85000000001
"gtmpcmet",2004,6,2880,19.8,25.4,33.7,25.7140972222222,2.89333759691671,4.6,2880,47,83,95,80.9489583333333,11.0205135207734,19,2880,1012,1019,1023,1018.60590277778,2.38873264401672,4,2880,0,1.5,6.7,1.91097222222222,1.42750401895498,2.1,2880,0,3,14.1,3.3459375,1.98442112990746,2.9,2880,0,174,360,171.497222222222,74.6052573042201,105,2880,198.1,30,28379.9,46029.3,57799.7,44913.1933333333,8871.13750016595,14252.375
"gtmpcmet",2004,7,2952,21,26,33.6,26.2460365853659,2.81250376726575,4.6,2952,47,83,100,81.2096883468835,10.9639315464556,18,2952,1010,1016,1022,1015.85806233062,2.65128678671165,4,2952,0,1.4,8.7,1.69451219512195,1.27806496313909,1.825,2952,0,2.9,13.4,3.1434620596206,1.898207060173,2.8,2952,0,201,358,179.491531165312,82.5756213358195,119,2952,85.6,31,14769.7,42752,61153.5,40591.7290322581,11544.8794452835,14685.3
"gtmpcmet",2004,8,2976,21.5,26,34.1,26.1609879032258,2.52328455384753,3.8,2803,47,89,100,87.4662861220121,10.9743319372914,17,2976,997,1017,1022,1016.0060483871,3.4011313554689,5,2976,0,1.6,17.9,2.09375,1.75505452523693,1.8,2976,0,3,25.9,3.54926075268817,2.46718690375002,2.9,2976,0,195,360,171.280577956989,90.6045182567614,163.25,2976,243.1,31,15003.6,36671.1,52461.6,35522.6774193548,9694.59949747658,11700.35
"gtmpcmet",2004,9,2880,22.1,26.6,33.2,26.7914583333333,1.8933229300915,2.2,2848,41,84,100,82.9322331460674,10.7029029902688,14,2880,994,1015,1021,1013.390625,5.08495205143614,5,2880,0,4.1,18.8,4.89743055555556,3.62511218334329,4.2,2880,0,6.6,28.1,7.49576388888889,4.88635162523472,5.5,2880,0,94.5,359,116.055555555556,76.8157693534696,117,2880,339.9,30,3150.3,35626.9,50206.3,31142.4666666667,12942.8931134595,17386.425
"gtmpcmet",2004,10,2976,10.6,23.5,30.6,23.2709677419355,3.35097184513064,3.8,2961,34,80,100,80.6950354609929,13.4800355007612,22,2976,1004,1018,1026,1017.05141129032,4.19039053042865,5,2976,0,2.1,8.2,2.54106182795699,1.85561897028962,2.7,2976,0,3.7,11.4,4.02913306451613,2.54095887169904,3.8,2976,0,143,360,149.686491935484,92.9067382690308,174.25,2976,17,31,8357.1,31492.4,39798.6,30525.2387096774,6309.82205045844,6603.85
"gtmpcmet",2004,11,2880,6.5,20.7,29.5,19.8124305555556,4.11906145144099,4.9,2823,41,83,100,80.4821112291888,14.0391631866954,24,2880,1007,1020,1032,1020.19930555556,4.69291805731889,5,2880,0,2.1,10.2,2.70520833333333,2.15110671896116,2.7,2880,0,4,13.4,4.38333333333333,3.00704856805747,4.1,2880,0,182,360,171.294444444444,101.31605056362,172,2880,61.4,30,5769.7,26772.05,33908.2,24667.9066666667,7193.5346335506,7392
"gtmpcmet",2004,12,2976,-0.6,13.5,27.9,13.6551747311828,5.83325443014186,8.7,2918,25,85,100,81.899931459904,15.8981457640107,23,2976,1004,1020,1034,1021.41330645161,6.1059451140648,8,2976,0,1.8,11.8,2.26575940860215,1.68230143320998,1.8,2976,0,3.4,18.1,3.92331989247312,2.47300189097389,3.1,2976,0,260,360,227.658938172043,102.545555070028,129.25,2976,31.8,31,2341.5,22580,28217.9,19707.0451612903,7920.26644197608,12366.95
"gtmpcmet",2005,1,2976,-1.2,15.4,26.4,14.3286626344086,5.43456615284749,7.3,2662,15,89,100,84.1543951915853,15.7324437751662,19,2976,1010,1023,1035,1022.90356182796,4.9735205475446,7,2976,0,2,12.3,2.67590725806452,2.37784045449359,2.6,2976,0,3.6,17.1,4.34210349462366,3.26254808044026,4.1,2976,0,228,360,194.933803763441,114.129270594801,181.25,2976,51.8,31,3128.2,24682.1,32461.6,21893.3225806452,8197.14790492033,9420.65
"gtmpcmet",2005,2,2688,2.4,14.2,26.7,14.4510416666667,4.50282783758398,6,2394,22,87,100,80.109440267335,19.3625247816864,29,2688,999,1020,1029,1019.70349702381,5.05381118472714,6,2688,0,2.5,9.3,2.95513392857143,2.0632020769885,3.2,2688,0,4.6,13.3,4.78857886904762,2.80415313310921,4.5,2688,0,247,360,225.578869047619,108.730481276075,150.25,2688,82.8,28,4072.6,27920.4,39196.1,26642.0428571429,10486.212469306,10839.15
"gtmpcmet",2005,3,2976,2.9,16.6,30.3,15.6992943548387,5.43796948381834,7.8,2794,18,77,100,73.6105941302792,21.2422503416016,33,2976,1003,1015,1023,1014.49831989247,3.90724350381936,5,2976,0,2,8,2.30332661290323,1.4202138632339,1.9,2976,0,3.8,13.7,4.1989247311828,2.39884962339811,3.1,2976,0,237,360,215.703629032258,89.1464597972837,112,2976,93.4,31,3959.2,40248.5,50068.6,32277.8096774194,15323.3487547458,24361.45
"gtmpcmet",2005,4,2880,7.5,18.4,30.4,18.2542361111111,3.95159880849,5.6,2867,21,75,100,73.8001395186606,18.9025532078437,26,2880,1004,1016,1027,1016.05,5.31471510017614,8,2880,0,2.5,9.2,2.98736111111111,2.13389587765849,2.8,2880,0,4.5,12.9,4.83465277777778,2.94533273903871,4.6,2880,0,176,360,168.012152777778,98.2601981581634,161,2880,104.9,30,22085.1,49275,55821,45905.7,8678.79902366125,10652.975
"gtmpcmet",2005,5,2976,11.5,22,32.7,21.9565524193548,3.37216047884237,4.9,2899,37,84,100,81.6429803380476,13.77302306959,21,2976,1002,1015,1022,1015.01545698925,3.63545976787857,5,2976,0,2.3,7.7,2.40742607526882,1.55562475047204,2.5,2976,0,3.9,12.8,3.86478494623656,2.14471321562249,3.4,2976,0,156,360,165.657258064516,94.821896565673,157,2974,110,31,4807.8,49573.6,57518.7,44085.8322580645,15107.7659425296,12341.8
