"code","Sal","Temp","DO","pH","Turb","Chla","NH4","NO23","PO4","cluster","pca_id","Map.Number","Map.Code"
"niwcb",34.1,20.8,6.2,7.7,1,0.688864568,-1.300379042,-2.15490196,-1.87874117,"D",112,14,"niw"
"niwdc",33.6,21.05,6.35,7.7,0.954242509,0.739374533,-1.330683119,-2.21944268,-1.903089987,"D",113,14,"niw"
"niwol",34,21.4,5.9,7.6,1.041392685,0.859588577,-1.287139935,-2.237508996,-1.820663686,"D",114,14,"niw"
"niwta",6.6,20.6,6.8,7.1,1.477121255,0.898450919,-1.022047879,-0.86922412,-1.44279366,"A",115,14,"niw"
"nocec",22.35,20.4,7.4,7.8,1,0.85308953,-1.308918508,-1.042153366,-1.801342913,"D",118,13,"noc"
"noclc",33.05,20.6,7.2,8,0.698970004,0.391816924,-1.443697499,-3.038541174,-2.522878745,"B",119,13,"noc"
"nocrc",31.275,20.7,7,7.9,0.77815125,0.544068044,-1.42078822,-2.783300472,-2.48148606,"B",120,13,"noc"
"noczb",22.6,20.75,6.7,7.7,1.176091259,0.966610987,-1.273272791,-1.185086819,-1.581698709,"D",121,13,"noc"
"owcbr",0.3,14.9,8.1,7.8,1,0.247973266,-1.522878745,0.361586195,-1.649025534,"A",122,2,"owc"
"owcdr",0.3,15.7,6.7,7.6,1.230448921,0.564073979,-1.443697499,0.269921363,-1.795880017,"A",123,2,"owc"
"owcol",0.2,16.8,7.85,7.7,1.477121255,1.239424618,-1.133712661,0.082695631,-2.033858267,"A",124,2,"owc"
"owcsu",0.3,15.3,7.4,7.8,1.243038049,0.763802224,-1.26760624,0.491081413,-1.71219827,"A",125,2,"owc"
"owcwm",0.2,16.7,7.8,7.7,1.477121255,1.19180021,-1.092409512,0.017867719,-2.048176965,"A",126,2,"owc"
"pdbbp",28.9,10.9,9.5,8,0.301029996,0.232784414,-1.758204569,-0.914352712,-1.2915791,"C",127,27,"pdb"
"pdbby",29.275,10.25,8.7,7.9,0.301029996,0.280464547,-1.803409346,-0.689041308,-1.243173787,"C",128,27,"pdb"
"pdbgd",29.8,9.7,7.1,7.8,0.301029996,0.149603955,-1.744727495,-0.501586055,-1.192126868,"C",129,27,"pdb"
"pdbgs",29.3,10.65,8.7,7.9,0,0.251435421,-1.93930216,-0.60736166,-1.254534831,"C",130,27,"pdb"
"pdbje",26.1,11.9,8.2,7.6,1.096910013,0.462397998,-0.357683897,-0.16774663,-1.707743929,"A",131,27,"pdb"
"pdbjl",2,11.05,5.9,6.9,1.431363764,0.443849476,-0.351371688,-0.093873804,-1.751413756,"A",132,27,"pdb"
"rkbfb",29.9,27.1,5.2,7.8,0.903089987,0.667686382,-1.576754126,-2.259637311,-1.877784122,"D",137,18,"rkb"
"rkbfu",27.1,26.95,5,7.7,0.84509804,0.423245874,-1.49825627,-1.782516056,-1.978810701,"D",138,18,"rkb"
"rkblh",33.1,27.1,5.4,7.9,0.903089987,0.602059991,-1.657577319,-2.187086643,-2.096910013,"B",139,18,"rkb"
"rkbmb",33.2,26.9,4.4,7.7,1,0.537189226,-1.420216403,-1.823908741,-1.602059991,"D",140,18,"rkb"
"rkbpb",30.15,27.05,4.9,7.8,1,0.582631439,-1.576754126,-2.22184875,-1.698970004,"D",141,18,"rkb"
"sapca",31.7,22.5,6.5,7.8,1.204119983,0.937517892,-1.328364403,-2.402046906,-1.225118234,"D",144,16,"sap"
"sapdc",27.1,22.6,4.9,7.4,1.204119983,0.604496053,-0.622193069,-1.756961951,-0.637234873,"D",145,16,"sap"
"sapfd",23.4,24.9,5.2,7.2,0.929418926,0.860338007,-1.572676214,-2.22184875,-1.401574293,"D",146,16,"sap"
"saphd",25.45,22.8,5.3,7.4,0.84509804,0.693140461,-1.448550002,-2.319349282,-1.48945499,"D",147,16,"sap"
"sapld",26.975,21.95,6.1,7.7,1.397940009,0.977151789,-1.431798276,-1.838631998,-1.532638583,"D",148,16,"sap"
"sapml",26.175,22.6,6.8,7.7,1.255272505,0.927712462,-1.503762455,-1.472799881,-1.454692884,"D",149,16,"sap"
"sfbcc",23.5,16.35,7.8,7.8,1.638489257,0.792391689,-1.323763783,-0.638602731,-1.031166955,"A",150,25,"sfb"
"sfbfm",4,17.35,7,7.6,1.602059991,0.612783857,-1.13430394,0.039800648,-0.665294994,"A",151,25,"sfb"
