station,lon,lat
KACHDNUT,-151.40878,59.60201
KACHDWQ,-151.40878,59.60201
KACHHNUT,-151.41726,59.60342
KACHOMET,-151.4095,59.60093
KACHOWQ,-151.41,59.60232
KACHSNUT,-151.40878,59.60201
KACHSWQ,-151.40878,59.60201
KACPGWQ,-151.89612,59.37053
KACSDNUT,-151.72096,59.44099
KACSDWQ,-151.72096,59.44099
KACSEWQ,-151.72096,59.44099
KACSSNUT,-151.72096,59.44099
KACSSWQ,-151.72096,59.44099
LKSBANUT,-92.06352,46.721772
LKSBAWQ,-92.06352,46.721772
LKSBLNUT,-92.10027,46.748649
LKSBLWQ,-92.10027,46.748649
LKSOLNUT,-92.20166,46.65685
LKSOLWQ,-92.20166,46.65685
LKSPOMET,-92.135614,46.67236
LKSPONUT,-92.135614,46.67236
LKSPOWQ,-92.135614,46.67236
MARABNUT,-97.0287,27.9798
MARABWQ,-97.0287,27.9798
MARCEMET,-97.0344,28.1323
MARCENUT,-97.0344,28.1323
MARCEWQ,-97.0344,28.1323
MARCWNUT,-97.2009,28.0841
MARCWWQ,-97.2009,28.0841
MARMBNUT,-96.8285,28.1384
MARMBWQ,-96.8285,28.1384
MARSCMET,-97.05022,27.83811
MARSCNUT,-97.0503,27.8383
MARSCWQ,-97.0503,27.8383
NARNCNUT,-71.324283,41.62485
NARNCWQ,-71.324283,41.62485
NARPCMET,-71.339386,41.637139
NARPCNUT,-71.340881,41.64055
NARPCWQ,-71.340881,41.64055
NARTBNUT,-71.321125,41.578361
NARTBWQ,-71.321125,41.578361
NARTSNUT,-71.321125,41.578361
NARTSWQ,-71.321125,41.578361
NARTWNUT,-71.321417,41.579217
NARTWWQ,-71.321417,41.579217
NIWCAWQ,-79.1667,33.45
NIWCBNUT,-79.1930411,33.3338636
NIWCBWQ,-79.1930411,33.3338636
NIWDCNUT,-79.1674572,33.3601486
NIWDCWQ,-79.1674572,33.3601486
NIWOLMET,-79.1888819,33.3493511
NIWOLNUT,-79.1888819,33.3493511
NIWOLWQ,-79.1888819,33.3493511
NIWTANUT,-79.2560564,33.2991461
NIWTAWQ,-79.2560564,33.2991461
NIWWBWQ,-79.2887556,33.309425
NIWWSWQ,-79.2887556,33.309425
NOCECNUT,-77.9411,33.9399
NOCECWQ,-77.9411,33.9399
NOCLCNUT,-77.8328,34.1722
NOCLCWQ,-77.8328,34.1722
NOCRCMET,-77.8509,34.1555
NOCRCNUT,-77.8499,34.156
NOCRCWQ,-77.8499,34.156
NOCZBNUT,-77.935,33.9547
NOCZBWQ,-77.935,33.9547
OWCBRNUT,-82.512222,41.348889
OWCBRWQ,-82.512222,41.348889
OWCDRNUT,-82.504722,41.365
OWCDRWQ,-82.504722,41.365
OWCOLNUT,-82.513889,41.381667
OWCOLWQ,-82.513889,41.381667
OWCOWMET,-82.508056,41.37778
OWCRRWQ,-82.513056,41.3725
OWCSUNUT,-82.5072,41.3672
OWCSUWQ,-82.5072,41.3672
OWCWMNUT,-82.514444,41.3825
OWCWMWQ,-82.514444,41.3825
OWCWRMET,-82.4536,41.2469
PDBBPNUT,-122.530894,48.556322
PDBBPWQ,-122.530894,48.556322
PDBBYNUT,-122.502114,48.496139
PDBBYWQ,-122.502114,48.496139
PDBGDNUT,-122.5725,48.5575
PDBGDWQ,-122.5725,48.5575
PDBGSNUT,-122.5725,48.5575
PDBGSWQ,-122.5725,48.5575
PDBJENUT,-122.474928,48.518914
PDBJEWQ,-122.474928,48.518914
PDBJLNUT,-122.474189,48.518264
PDBJLWQ,-122.474189,48.518264
PDBJTNUT,-122.4741856,48.51817008
PDBJTWQ,-122.4741856,48.51817008
PDBNNWQ,-122.4674,48.4695
PDBPFMET,-122.469303,48.463847
RKBBMWQ,-81.7375,25.979
RKBBRWQ,-81.5908,25.9678
RKBFBNUT,-81.477,25.8922
RKBFBWQ,-81.477,25.8922
RKBFUNUT,-81.5159,25.9005
RKBFUWQ,-81.5159,25.9005
RKBHCMET,-81.7316,26.0249
RKBLHNUT,-81.73361,26.02749
RKBLHWQ,-81.73361,26.02749
RKBMBNUT,-81.5946,25.9343
RKBMBWQ,-81.5946,25.9343
RKBPBNUT,-81.5404,25.9141
RKBPBWQ,-81.5404,25.9141
