Map.Code,code,cluster,Sal,Temp,DO,pH,Turb,Chla,NH4,NO23,PO4,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
elk,elksm,D,32.7,16.2,6.9,8,0.77815125,0.547159121,-1.177777419,-1.092409512,-1.353432913,-0.419652789,-0.380135736,1.535071021,-0.580321429,-0.636389636,0.075638905,0.188322266,-0.198632941,0.130472927
elk,elkvm,C,32.7,13.9,7.9,8,0.602059991,0.387389826,-1.229147988,-0.859491957,-1.42365865,-0.491479941,-1.368683003,1.352176579,-0.493662554,-0.722343015,0.014707287,0.136747163,-0.228404366,-0.040084827
gnd,gndbc,B,17.05,24,6.2,7.3,0.903089987,0.868056362,-1.978810701,-2.339019029,-2.401661724,-0.353415022,1.578953192,-1.422373683,0.64897833,0.708464414,-0.669359793,0.197590693,0.016842185,-0.012292218
gnd,gndbh,D,18,23.2,3.7,7,0.84509804,0.768082856,-1.494850022,-2.259637311,-2.477105333,0.102442304,2.488911783,-0.455133929,1.907979085,-0.073156595,-0.981858708,0.559027783,-0.239468527,0.740107557
gnd,gndbl,B,20.9,23.5,7,7.7,1,0.821840927,-2.287630376,-2.823722997,-2.195776908,-1.285935453,1.240394335,-1.515597292,-0.249483612,1.335791885,-0.253366226,-0.219117494,0.023478767,0.027044323
gnd,gndpc,B,22.6,23.7,7.4,8.1,1.079181246,0.831549852,-2.301029996,-2.729245583,-2.397940009,-1.665842422,1.070422645,-1.730316605,-1.028881689,0.938826337,0.303133906,-0.403221702,-0.057554898,0.173496415
grb,grbgb,C,24.9,15.05,8.5,7.9,0.602059991,0.669626759,-1.597738618,-1.283996656,-1.654299609,-0.424613642,-1.164115848,0.169149963,-0.746220183,-0.025431115,-0.364886996,0.131153286,0.134043317,-0.053361271
grb,grblr,A,12.3,17.3,8.6,7.3,0.698970004,0.33243846,-1.412850502,-0.966576245,-2.045757491,0.785382543,-1.082792798,-0.419787291,0.941695383,-0.219454575,-0.225203722,-0.205114127,0.20647534,-0.514976355
grb,grbor,A,21.95,16.3,7.9,7.7,0.903089987,0.658249954,-1.244125144,-0.966576245,-1.417936637,0.567362637,-0.58608392,0.858073844,-0.413071233,-0.198774591,-0.13459854,-0.036247769,0.087797211,-0.198605966
grb,grbsq,A,19.325,16.65,7.9,7.7,1.113943352,0.743470567,-0.871277716,-0.869666232,-1.443697499,1.246710309,-0.271658884,1.178780692,-0.568750593,-0.706259673,-0.055945479,-0.468610355,0.197093016,-0.145709658
gtm,gtmfm,D,34.3,24,6.3,8,0.84509804,0.540954809,-1.494850022,-2.045757491,-1.853871964,-1.463489758,1.075802269,0.433549157,-0.259347335,-0.410363033,0.280436945,-0.092510735,-0.075074346,-0.217994326
gtm,gtmpc,D,15.9,24.55,5.3,7.4,0.929418926,0.832508913,-1.501689446,-2.068033885,-1.48148606,0.090688736,1.852454067,0.343358261,0.602149911,0.558287895,-0.269260064,0.391805482,0.658505885,0.037968208
gtm,gtmpi,D,28.45,24.3,5.8,7.6,1.021189299,0.67669361,-1.411728293,-1.987162775,-1.643018599,-0.47560875,1.601658522,0.608465778,0.232055292,0.031090599,-0.076290733,-0.013209573,-0.013665788,-0.286794497
gtm,gtmss,D,33.9,24.1,6,7.9,0.954242509,0.630936119,-1.459045191,-1.802030632,-1.782516056,-1.034806779,1.304494932,0.569634688,-0.258414038,-0.35915636,0.252289604,0.094842491,-0.232684815,-0.262909423
hee,heekk,B,34,25.8,6.55,8.1,0.301029996,-0.140411423,-1.884389488,-2.095554959,-2.408935393,-2.942947902,0.152644276,-0.555188502,0.962053776,-0.664545088,0.955938615,0.175425266,-0.009477071,-0.39770917
hee,heer9,B,34.9,25.8,6.5,8.1,0.301029996,-0.22366209,-2.698970004,-2.32330639,-2.434742657,-3.779751346,0.005953864,-1.492559136,0.991846764,0.711255878,1.177279865,0.675441419,-0.484415322,-0.398136936
hee,heew2,D,0.1,24.3,2.4,6.9,1.146128036,-0.010995384,-2.033858267,-2.886056648,-1.904830649,-0.160808294,2.654643868,-0.442976674,3.492949313,1.924386195,0.650046901,0.260615257,0.071949432,1.34750082
hud,hudbm,A,0.7,13.4,9.3,7.7,1.176091259,0.298853076,-1.54515514,0.240549248,-1.431798276,1.940843994,-2.107224374,0.002385673,-0.217399024,0.441262451,1.297336295,0.032090865,0.084134098,-0.195810477
hud,hudsc,C,0.2,15.75,8.9,7.9,0.602059991,-0.010995384,-1.508638306,-0.387216143,-1.462180905,0.590102162,-2.236494027,0.052626774,0.446201797,0.016123407,1.413463932,0.123857936,1.00891162,-0.021988534
hud,hudsk,C,0.2,15.2,10,8.2,0.301029996,0.004321374,-1.856405325,-0.091246981,-2.259637311,-0.110608497,-3.107442312,-1.415935986,-0.055394426,-0.522131601,1.564806538,0.437200183,0.857264198,0.014164024
hud,hudtn,A,0.1,16.9,8.55,7.5,1.041392685,0.477121255,-1.455931956,-0.503070352,-2.017728767,1.660975056,-1.005772807,-0.706138126,0.318292093,-0.014278233,0.597943477,-0.141060933,0.349628901,-0.064964343
hud,hudts,A,0.1,16.6,8.7,7.6,0.954242509,0.440121603,-1.522878745,-0.494850022,-2.008773924,1.414468771,-1.240844857,-0.769818515,0.213547051,-0.005541094,0.70149201,-0.059310794,0.435781094,-0.019603746
jac,jacb6,B,29.5,15.7,8.25,8,0.954242509,0.662285516,-1.809668302,-2.221502524,-1.628932138,-1.057016001,-0.464091205,0.090461417,-1.040132685,0.719928051,-0.28344013,-0.628902965,-0.224526502,0.168785873
jac,jacb9,B,27.9,16.7,8,7.9,0.84509804,0.724685388,-1.823908741,-2.062642242,-1.617082865,-0.921493985,-0.331368697,0.017051776,-0.846973172,0.689691192,-0.403763628,-0.254004156,-0.070063754,0.061423885
jac,jacba,A,1.6,16.1,8.4,6.3,1.113943352,0.414137362,-1.853871964,-0.919012953,-2.22184875,2.428623135,-0.628484584,-1.478928698,2.334576628,1.382043429,-1.033027833,-0.146388313,-0.578184717,-0.792090521
jac,jacne,A,14.85,15.5,8.4,7.3,0.77815125,0.608793374,-1.397940009,-1.301029996,-1.744727495,0.852839561,-0.820304406,-0.007128351,0.429841268,0.174415769,-0.763681471,-0.248011686,0.230687652,-0.246417564
job,job09,B,37.1,29.2,4.3,7.7,0.301029996,0.496583734,-1.212362443,-2.552841969,-2.47820835,-2.153704374,2.348802403,0.203671111,1.263902934,-1.59610229,-0.4516594,0.423608953,0.339675754,-0.093856596
job,job10,B,36.8,29.3,5.2,7.8,0,0.164352856,-1.208484788,-2.346787486,-2.80557936,-2.627137035,1.445531622,-0.213582395,1.64293415,-2.177896434,-0.155284691,0.328724529,0.48531532,-0.364305819
job,job19,B,35.8,28.8,6.3,8.1,0,-0.244125144,-1.381690359,-2.698670173,-2.744727495,-3.42504736,0.619380766,-0.374077506,1.556393119,-1.870389238,0.589627618,-0.367427263,0.652898221,-0.428693957
job,job20,B,35.7,28.6,6.2,8.1,0.301029996,-0.491470281,-1.335358024,-2.584034794,-2.685857789,-3.199268127,0.631785361,-0.109030596,1.77618368,-1.743790494,1.184670347,-0.77928096,0.243735515,-0.445883908
kac,kachd,C,30.8,6.2,9.9,8,0.301029996,-0.015472687,-1.684204526,-0.943666965,-1.512861625,-1.033110522,-3.628612297,0.694005559,-0.24732498,0.032076522,-0.215789297,-0.186019438,-0.471113629,0.144780212
kac,kachs,C,29.3,8.6,10.8,8.1,0.477121255,0.136720567,-1.853871964,-1.030273545,-1.605110743,-1.018067261,-3.473540798,0.07927258,-0.879732115,0.291251642,-0.016404731,-0.450544346,-0.369207368,-0.277149987
kac,kacsd,C,31.3,6.75,9.8,8,0,0.053078443,-1.797239313,-0.875251309,-1.537602002,-1.368088698,-3.75190818,0.497572145,-0.183870678,-0.033185253,-0.464229798,0.363345624,-0.219380786,0.087422001
kac,kacss,C,30.7,6.55,10.3,8,0,0.161368002,-1.751413756,-0.895769034,-1.573488739,-1.216752173,-3.856978921,0.373211394,-0.43536096,-0.108735197,-0.662562614,0.222183987,-0.097695249,-0.018422545
lks,lksba,A,0.1,15.4,9,7.6,0.903089987,0.991226076,-1.337242168,-0.563042669,-2.187086643,1.879335689,-0.987922008,-0.976916828,-0.616685828,-0.433967695,-0.2273683,0.006675393,0.672626159,0.184598248
lks,lksbl,A,0.1,16.6,8.9,7.7,0.903089987,0.673941999,-0.901356274,-0.669079169,-2.15490196,1.79743984,-0.977639409,-0.324045399,-0.182543014,-1.183329654,0.229841661,-0.601430219,0.962814971,0.159382248
lks,lksol,A,0.1,18.4,8.7,7.7,0.84509804,0.58546073,-1.715569266,-1.148741651,-2.217578138,0.739320741,-0.833465892,-1.376301637,-0.014759949,0.171529385,0.448132477,-0.154666822,0.744267796,0.105722416
