Map.Code,code,cluster,Sal,Temp,DO,pH,Turb,Chla,NH4,NO23,PO4,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
tjr,tjrsb,D,35.4,21,6.5,8,0.84509804,0.327358934,-1.654626269,-1.979845968,-1.394335884,-1.598911114,0.38613187,0.947316849,-0.148772264,0.279991922,0.445959597,-0.047199821,-0.234417588,-0.166221395
tjr,tjrtl,D,31.2,20.15,4.15,7.6,0.903089987,0.389166084,-0.911863911,-1.028028724,-0.702239489,0.100256235,1.136627956,2.91641008,0.796842869,-0.345501892,0.340264242,0.795134026,-0.084994034,0.162856171
wel,welht,C,0.1,12.4,10.5,6.8,0.301029996,-0.698970004,-2.367844709,-0.95369998,-3.312442866,0.149904319,-3.521972344,-3.201039612,3.365089851,0.636399741,0.046463839,-0.517926629,-0.624192443,-0.562022158
wel,welin,C,31.1,9.3,9.2,7.9,0.477121255,-0.045757491,-1.568636236,-1.468521083,-1.903089987,-1.134562034,-2.630545394,0.395683727,0.193420059,-0.241753117,-0.211855642,-0.688314639,-0.587017454,0.216048438
wel,wellm,C,20.7,12.7,8.95,7.8,0.477121255,-0.15490196,-1.744727495,-1.180456064,-2.522878745,-0.860034453,-2.342521137,-0.821430206,0.829453524,-0.458380024,0.348911638,-0.436335179,-0.507497138,0.181719767
wel,welsm,C,3.1,13.5,9.2,7.2,0.602059991,-0.397940009,-2.136097587,-0.976541762,-3.075878341,0.163027047,-2.477591844,-2.41836807,2.328182622,0.313935885,0.505909841,-0.431100318,-0.6428715,0.032627742
wkb,wkbfr,A,6.8,23.95,7.05,7.2,1.079181246,1.260071388,-1.30980392,-0.30980392,-4.061645897,2.058797472,1.340995775,-2.989835755,0.311304903,-2.122466473,-0.551400121,0.449487919,-0.623441662,-0.089488001
wkb,wkbmb,A,9.4,24.3,7.8,7.9,1.176091259,1.48403871,-1.654299609,-0.845677486,-3.826779698,0.943557579,1.258420201,-3.203170449,-1.456753921,-1.583678272,0.006342798,0.220045891,-0.286277745,0.19320643
wkb,wkbmr,A,9,24.9,7.3,7.7,1.230448921,1.455047991,-1.46428403,-0.467882884,-4.312994743,1.468415932,1.556224807,-3.473082917,-0.908212848,-2.291685162,-0.05364632,0.295349464,-0.698296722,0.199303086
wkb,wkbwb,A,10.8,24.1,7.75,7.9,1.176091259,1.475719602,-1.568636236,-1.152838799,-3.709003923,0.803682342,1.364444609,-2.927651407,-1.436562909,-1.541074132,-0.154920511,-0.029654573,-0.167446531,0.25348499
wqb,wqbcr,C,27.7,16.6,7.8,7.8,0.301029996,1.14690287,-1.657577319,-1.09017663,-2.042153366,-0.448741976,-0.559431641,-0.406937888,-0.972387672,-0.527883051,-1.212740721,1.107531517,0.174973866,-0.013242536
wqb,wqbmh,C,30.9,12.9,8.8,8,0.301029996,0.380211242,-1.8569852,-2.123493496,-1.823908741,-1.806509166,-1.745564296,-0.099175548,-0.392785525,0.25059474,-0.674768578,-0.237794993,0.057737345,0.23040258
wqb,wqbmp,C,29.9,16.6,8.4,8,0,0.457881897,-1.855425792,-2.327902142,-2.062983893,-2.261459765,-1.264327344,-0.515223778,-0.133182687,-0.158092006,-0.848210177,0.114736377,0.58114881,0.101062676
wqb,wqbsl,B,29.2,17.8,7.8,7.9,0,0.414973348,-1.809668302,-2.52651303,-2.22184875,-2.305728535,-0.820393545,-0.604607325,0.303981202,-0.27468651,-0.901270526,0.073745491,0.571211469,0.215909608
