Map.code,code,cluster,SpCond,Temp,DO,pH,Turb,Chla,NH4,NO23,PO4,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
tjr,tjrtl,D,48.0425,20.15,4.15,7.6,0.903089987,0.389166084,-0.911863911,-1.028028724,-0.702239489,0.110478605,1.135475625,2.912091492,0.802722926,-0.353279017,0.340359552,0.794122595,-0.118441988,0.150568356
wel,welht,C,0.2,12.4,10.5,6.8,0.301029996,-0.698970004,-2.367844709,-0.95369998,-3.312442866,0.167767629,-3.525224377,-3.219918565,3.364865229,0.654229759,0.02512996,-0.542599978,-0.593629495,-0.540154617
wel,welin,C,48.08,9.3,9.2,7.9,0.477121255,-0.045757491,-1.568636236,-1.468521083,-1.903089987,-1.134541115,-2.630628857,0.397793567,0.18975119,-0.2433814,-0.224117098,-0.701001403,-0.569284426,0.222416175
wel,wellm,C,33.24,12.7,8.95,7.8,0.477121255,-0.15490196,-1.744727495,-1.180456064,-2.522878745,-0.883677521,-2.339542391,-0.805836732,0.819218357,-0.464714388,0.320261011,-0.449749742,-0.534909346,0.165999685
wel,welsm,C,5.75,13.5,9.2,7.2,0.602059991,-0.397940009,-2.136097587,-0.976541762,-3.075878341,0.157202515,-2.477319067,-2.419151688,2.323293497,0.32009517,0.478387829,-0.452110198,-0.648099031,0.033126276
wkb,wkbfr,A,11.97,23.95,7.05,7.2,1.079181246,1.260071388,-1.30980392,-0.30980392,-4.061645897,2.03493173,1.345024998,-2.989147454,0.292814758,-2.115554321,-0.578243403,0.432771903,-0.651754866,-0.098986631
wkb,wkbmb,A,15.99,24.3,7.8,7.9,1.176091259,1.48403871,-1.654299609,-0.845677486,-3.826779698,0.915415974,1.262597606,-3.194108538,-1.470005903,-1.5789274,-0.004613072,0.21359483,-0.309263299,0.182788341
wkb,wkbmr,A,15.495,24.9,7.3,7.7,1.230448921,1.455047991,-1.46428403,-0.467882884,-4.312994743,1.438038866,1.560948135,-3.466788387,-0.925715464,-2.285423396,-0.076694118,0.278009632,-0.729604937,0.187180208
wkb,wkbwb,A,18.13,24.1,7.75,7.9,1.176091259,1.475719602,-1.568636236,-1.152838799,-3.709003923,0.775336345,1.368621848,-2.917281437,-1.449779843,-1.538160102,-0.164177966,-0.031767378,-0.181856267,0.244454172
wqb,wqbcr,C,43.355,16.6,7.8,7.8,0.301029996,1.14690287,-1.657577319,-1.09017663,-2.042153366,-0.462790236,-0.557250322,-0.397897317,-0.982362428,-0.529906778,-1.209990576,1.115985492,0.153282063,-0.021850481
wqb,wqbmh,C,47.86,12.9,8.8,8,0.301029996,0.380211242,-1.8569852,-2.123493496,-1.823908741,-1.811301851,-1.745398921,-0.090706547,-0.395748676,0.247552958,-0.672075178,-0.232010612,0.074019696,0.234196192
wqb,wqbmp,C,46.315,16.6,8.4,8,0,0.457881897,-1.855425792,-2.327902142,-2.062983893,-2.26605386,-1.264599188,-0.506903082,-0.134787566,-0.16158949,-0.837186816,0.134007852,0.58921149,0.099911716
wqb,wqbsl,B,45.32,17.8,7.8,7.9,0,0.414973348,-1.809668302,-2.52651303,-2.22184875,-2.311878208,-0.820574599,-0.595613352,0.301693718,-0.279119716,-0.892853828,0.093623899,0.577971736,0.213325209
