FID_1,station,lon,lat,FID_2,objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc8,name,globalid,shape_Leng,shape_Area
151,TJRRC,-117.10610000000,32.55780000000,5,180,{843EF822-4013-48BF-B25F-491A1CC8536A},{93C374CC-EFFC-4F80-B73B-B02CB768ABCE},,U.S. Geological Survey,,1/3/2022,,1100038.76000000000,4451.70000000000,"CA,MX",18070305,Cottonwood-Tijuana,{EDDADCDA-8E73-46DF-9D2A-3CFE21DDF5D9},4.46259849221,0.42704325111
153,TJRTL,-117.12720000000,32.57440000000,5,180,{843EF822-4013-48BF-B25F-491A1CC8536A},{93C374CC-EFFC-4F80-B73B-B02CB768ABCE},,U.S. Geological Survey,,1/3/2022,,1100038.76000000000,4451.70000000000,"CA,MX",18070305,Cottonwood-Tijuana,{EDDADCDA-8E73-46DF-9D2A-3CFE21DDF5D9},4.46259849221,0.42704325111
103,NOCEC,-77.94110000000,33.93990000000,6,242,{E67F756E-4BC3-4EF4-B59E-10C31805E673},{0DDFFDF7-8CEF-4856-9063-4456E847EFE4},,U.S. Geological Survey,,3/23/2022,,706607.75000000000,2859.54000000000,NC,03030005,Lower Cape Fear,{2E2A81EF-8999-458A-8DCC-B445E682431E},4.90588478105,0.28033520480
106,NOCZB,-77.93500000000,33.95470000000,6,242,{E67F756E-4BC3-4EF4-B59E-10C31805E673},{0DDFFDF7-8CEF-4856-9063-4456E847EFE4},,U.S. Geological Survey,,3/23/2022,,706607.75000000000,2859.54000000000,NC,03030005,Lower Cape Fear,{2E2A81EF-8999-458A-8DCC-B445E682431E},4.90588478105,0.28033520480
97,NIWCB,-79.19304110000,33.33386360000,7,243,{7991D191-F23B-47C9-9591-C00C49BCF3A9},{F5FC7440-ABDF-4CF1-82CC-644E768C65BA},,U.S. Geological Survey,,1/14/2022,,432863.81000000000,1751.74000000000,"NC,SC",03040208,Coastal Carolina,{8603AFBD-53F9-4AFB-AA13-E80E74217545},3.70613100626,0.17053556010
98,NIWDC,-79.16745720000,33.36014860000,7,243,{7991D191-F23B-47C9-9591-C00C49BCF3A9},{F5FC7440-ABDF-4CF1-82CC-644E768C65BA},,U.S. Geological Survey,,1/14/2022,,432863.81000000000,1751.74000000000,"NC,SC",03040208,Coastal Carolina,{8603AFBD-53F9-4AFB-AA13-E80E74217545},3.70613100626,0.17053556010
99,NIWOL,-79.18888190000,33.34935110000,7,243,{7991D191-F23B-47C9-9591-C00C49BCF3A9},{F5FC7440-ABDF-4CF1-82CC-644E768C65BA},,U.S. Geological Survey,,1/14/2022,,432863.81000000000,1751.74000000000,"NC,SC",03040208,Coastal Carolina,{8603AFBD-53F9-4AFB-AA13-E80E74217545},3.70613100626,0.17053556010
91,NARNC,-71.32428300000,41.62485000000,8,254,{60CAA9CD-74B0-4831-B1D6-BA9B0997D4DB},{E7517A09-0AA7-457C-8032-D066604F34E6},,U.S. Geological Survey,,6/28/2023,,949178.31000000000,3841.19000000000,"MA,RI",01090004,Narragansett,{7A4220C8-C4E9-4878-A805-5E44163885F2},5.07777470245,0.41599161741
92,NARPC,-71.34088100000,41.64055000000,8,254,{60CAA9CD-74B0-4831-B1D6-BA9B0997D4DB},{E7517A09-0AA7-457C-8032-D066604F34E6},,U.S. Geological Survey,,6/28/2023,,949178.31000000000,3841.19000000000,"MA,RI",01090004,Narragansett,{7A4220C8-C4E9-4878-A805-5E44163885F2},5.07777470245,0.41599161741
93,NARTB,-71.32112500000,41.57836100000,8,254,{60CAA9CD-74B0-4831-B1D6-BA9B0997D4DB},{E7517A09-0AA7-457C-8032-D066604F34E6},,U.S. Geological Survey,,6/28/2023,,949178.31000000000,3841.19000000000,"MA,RI",01090004,Narragansett,{7A4220C8-C4E9-4878-A805-5E44163885F2},5.07777470245,0.41599161741
94,NARTS,-71.32112500000,41.57836100000,8,254,{60CAA9CD-74B0-4831-B1D6-BA9B0997D4DB},{E7517A09-0AA7-457C-8032-D066604F34E6},,U.S. Geological Survey,,6/28/2023,,949178.31000000000,3841.19000000000,"MA,RI",01090004,Narragansett,{7A4220C8-C4E9-4878-A805-5E44163885F2},5.07777470245,0.41599161741
95,NARTW,-71.32141700000,41.57921700000,8,254,{60CAA9CD-74B0-4831-B1D6-BA9B0997D4DB},{E7517A09-0AA7-457C-8032-D066604F34E6},,U.S. Geological Survey,,6/28/2023,,949178.31000000000,3841.19000000000,"MA,RI",01090004,Narragansett,{7A4220C8-C4E9-4878-A805-5E44163885F2},5.07777470245,0.41599161741
141,SOSCH,-124.32053300000,43.33770000000,9,281,{6E63AEAC-6ACB-4A61-9C2B-7AE389F1C9D6},{CD8CFEB6-BAD7-4DED-9EC8-B1E2B06D88C5},,Bureau of Land Management,,1/23/2024,,568204.54000000000,2299.44000000000,OR,17100304,Coos,{2FE361A6-AE3A-4103-9FA4-26AF92AA877A},3.37437737995,0.25548073421
142,SOSEC,-124.31072900000,43.29650100000,9,281,{6E63AEAC-6ACB-4A61-9C2B-7AE389F1C9D6},{CD8CFEB6-BAD7-4DED-9EC8-B1E2B06D88C5},,Bureau of Land Management,,1/23/2024,,568204.54000000000,2299.44000000000,OR,17100304,Coos,{2FE361A6-AE3A-4103-9FA4-26AF92AA877A},3.37437737995,0.25548073421
143,SOSSE,-124.30261700000,43.28968300000,9,281,{6E63AEAC-6ACB-4A61-9C2B-7AE389F1C9D6},{CD8CFEB6-BAD7-4DED-9EC8-B1E2B06D88C5},,Bureau of Land Management,,1/23/2024,,568204.54000000000,2299.44000000000,OR,17100304,Coos,{2FE361A6-AE3A-4103-9FA4-26AF92AA877A},3.37437737995,0.25548073421
144,SOSVA,-124.32163300000,43.31721700000,9,281,{6E63AEAC-6ACB-4A61-9C2B-7AE389F1C9D6},{CD8CFEB6-BAD7-4DED-9EC8-B1E2B06D88C5},,Bureau of Land Management,,1/23/2024,,568204.54000000000,2299.44000000000,OR,17100304,Coos,{2FE361A6-AE3A-4103-9FA4-26AF92AA877A},3.37437737995,0.25548073421
145,SOSWI,-124.32031700000,43.28241700000,9,281,{6E63AEAC-6ACB-4A61-9C2B-7AE389F1C9D6},{CD8CFEB6-BAD7-4DED-9EC8-B1E2B06D88C5},,Bureau of Land Management,,1/23/2024,,568204.54000000000,2299.44000000000,OR,17100304,Coos,{2FE361A6-AE3A-4103-9FA4-26AF92AA877A},3.37437737995,0.25548073421
61,JACB6,-74.33850000000,39.50790000000,10,295,{4F01D3DD-C497-4BE2-A450-928B56423C65},{FF40BBBB-D32E-414A-A468-5B5B7BC5F301},,NJDEP,,6/2/2023,,1104025.83000000000,4467.84000000000,"NJ,NY",02040301,Mullica-Toms,{C5152260-76EE-4024-8863-F03351205BE5},4.65469488104,0.47020472727
62,JACB9,-74.38113060000,39.49794170000,10,295,{4F01D3DD-C497-4BE2-A450-928B56423C65},{FF40BBBB-D32E-414A-A468-5B5B7BC5F301},,NJDEP,,6/2/2023,,1104025.83000000000,4467.84000000000,"NJ,NY",02040301,Mullica-Toms,{C5152260-76EE-4024-8863-F03351205BE5},4.65469488104,0.47020472727
63,JACBA,-74.55150000000,39.59370000000,10,295,{4F01D3DD-C497-4BE2-A450-928B56423C65},{FF40BBBB-D32E-414A-A468-5B5B7BC5F301},,NJDEP,,6/2/2023,,1104025.83000000000,4467.84000000000,"NJ,NY",02040301,Mullica-Toms,{C5152260-76EE-4024-8863-F03351205BE5},4.65469488104,0.47020472727
64,JACNE,-74.46080000000,39.54790000000,10,295,{4F01D3DD-C497-4BE2-A450-928B56423C65},{FF40BBBB-D32E-414A-A468-5B5B7BC5F301},,NJDEP,,6/2/2023,,1104025.83000000000,4467.84000000000,"NJ,NY",02040301,Mullica-Toms,{C5152260-76EE-4024-8863-F03351205BE5},4.65469488104,0.47020472727
3,ACEFJ,-79.89899100000,32.75332700000,11,317,{3A3C518C-9918-4F48-B05B-A7DF77282CA0},,,,,6/9/2016,,808791.74000000000,3273.07000000000,SC,03050201,Cooper,{84F18DF4-2761-4058-B0DF-791EDEC4CD17},3.55532670428,0.31604254901
0,ACEBB,-80.32410000000,32.49410000000,12,319,{EB90CC48-2264-41EF-AE75-3E1BB1F20491},,,,,6/9/2016,,601152.53000000000,2432.78000000000,SC,03050206,Edisto River,{B37CA57A-4099-4F9D-9824-87194D287D83},4.61080749224,0.23454928151
1,ACEEI,-80.32470000000,32.50400000000,12,319,{EB90CC48-2264-41EF-AE75-3E1BB1F20491},,,,,6/9/2016,,601152.53000000000,2432.78000000000,SC,03050206,Edisto River,{B37CA57A-4099-4F9D-9824-87194D287D83},4.61080749224,0.23454928151
2,ACEFC,-80.36556000000,32.63593000000,12,319,{EB90CC48-2264-41EF-AE75-3E1BB1F20491},,,,,6/9/2016,,601152.53000000000,2432.78000000000,SC,03050206,Edisto River,{B37CA57A-4099-4F9D-9824-87194D287D83},4.61080749224,0.23454928151
4,ACEGP,-80.41300000000,32.66370000000,12,319,{EB90CC48-2264-41EF-AE75-3E1BB1F20491},,,,,6/9/2016,,601152.53000000000,2432.78000000000,SC,03050206,Edisto River,{B37CA57A-4099-4F9D-9824-87194D287D83},4.61080749224,0.23454928151
5,ACEJI,-80.39650000000,32.62090000000,12,319,{EB90CC48-2264-41EF-AE75-3E1BB1F20491},,,,,6/9/2016,,601152.53000000000,2432.78000000000,SC,03050206,Edisto River,{B37CA57A-4099-4F9D-9824-87194D287D83},4.61080749224,0.23454928151
8,ACESP,-80.36144000000,32.52800000000,12,319,{EB90CC48-2264-41EF-AE75-3E1BB1F20491},,,,,6/9/2016,,601152.53000000000,2432.78000000000,SC,03050206,Edisto River,{B37CA57A-4099-4F9D-9824-87194D287D83},4.61080749224,0.23454928151
6,ACEMC,-80.43800000000,32.55580000000,13,320,{601F58B1-E7BD-4160-8BA9-2127DFF2C00F},{B250E6FA-E5CF-4A3C-8DF3-E4D026AD865C},,U.S. Geological Survey,,2/3/2022,,1202931.67000000000,4868.10000000000,SC,03050207,Salkehatchie,{CD908CB5-F03F-453A-ACC3-C507E45EDD04},5.19638643260,0.46933775317
7,ACERC,-80.50360000000,32.54850000000,13,320,{601F58B1-E7BD-4160-8BA9-2127DFF2C00F},{B250E6FA-E5CF-4A3C-8DF3-E4D026AD865C},,U.S. Geological Survey,,2/3/2022,,1202931.67000000000,4868.10000000000,SC,03050207,Salkehatchie,{CD908CB5-F03F-453A-ACC3-C507E45EDD04},5.19638643260,0.46933775317
18,CBMMB,-75.80458300000,38.20855000000,14,323,{48339FAA-560D-4C97-95C5-08C7FF951AA0},,,,,11/3/2020,,621546.83000000000,2515.31000000000,"DE,MD,VA",02080110,Tangier,{978BADBF-FA7F-40FC-9CCE-D8B9EDB1B7A1},4.23801708180,0.25880588464
107,OWCBR,-82.51222200000,41.34888900000,15,331,{C1CECB86-90D0-4FCA-9A4C-44BB7EF5A144},,,,,9/20/2019,,488453.35000000000,1976.70000000000,OH,04100012,Huron-Vermilion,{A7293A4B-14EF-4112-B8D8-369D17FCBBB8},2.88982314064,0.21209416280
108,OWCDR,-82.50472200000,41.36500000000,15,331,{C1CECB86-90D0-4FCA-9A4C-44BB7EF5A144},,,,,9/20/2019,,488453.35000000000,1976.70000000000,OH,04100012,Huron-Vermilion,{A7293A4B-14EF-4112-B8D8-369D17FCBBB8},2.88982314064,0.21209416280
