"station","param","p_0","p_5","p_10","p_25","p_50","p_75","p_90","p_95","p_100"
"kacho","do_mgl",9,9.175,9.35,9.875,11.25,11.45,11.66,11.73,11.8
"kacho","do_pct",98.1,98.66,99.22,100.375,103.6,106.025,110.6,113.05,115.5
"kacho","ph",7.9,7.9,7.9,7.9,7.9,8,8.01,8.055,8.1
"kacho","turb",2,2,2,2.75,3,4.25,5.3,5.65,6
"kachs","temp",1.1,1.87,3.19,4.925,8.6,10.7,11.41,11.71,13.1
"kachs","spcond",39.455,41.077,41.527,43.05125,45.515,48.0875,49.073,49.3865,50.78
"kachs","sal",25.1,26.2,26.58,27.5625,29.3,30.6,31.1,31.3,32
"kachs","do_mgl",8.9,9.3,9.4,9.9,10.8,11.6,12.26,12.56,13.2
"kachs","do_pct",90.2,92.96,96.06,99.8,111.4,118.6,121.56,124.76,135.7
"kachs","ph",7.6,7.73,7.86,8,8.1,8.2,8.2,8.3,8.4
"kachs","turb",1,1,2,2,3,4,5,6.05,57
"kacpg","temp",6.7,7.02,7.34,8.5,9.4,10.2,10.38,10.54,10.7
"kacpg","spcond",46.8,47.316,47.832,48.12,48.86,49.15,49.186,49.238,49.29
"kacpg","sal",30.3,30.66,31.02,31.2,31.7,31.7,31.82,31.86,31.9
"kacpg","do_mgl",8.9,8.93,8.96,9.1,9.8,10.2,10.24,10.27,10.3
"kacpg","do_pct",96.2,96.53,96.86,97.575,105.05,107.525,108.8,109.4,110
"kacpg","ph",8,8.03,8.06,8.1,8.1,8.25,8.34,8.37,8.4
"kacpg","turb",-1,-0.7,-0.4,0,0,1,1.4,1.7,2
"kacsd","temp",1.25,3.1,3.5,4.6,6.75,9.3,10.33,10.83,12
"kacsd","spcond",44.8,46.3895,46.857,47.6975,48.625,49.1625,49.863,50.2125,51.05
"kacsd","sal",28.7,30.1,30.4,30.8,31.3,31.6,31.9,32.01,34.2
"kacsd","do_mgl",5.3,8.1,8.4,8.9,9.8,10.5,11.2,11.7,12.5
"kacsd","do_pct",57.3,87.62,89.1,91.8,96.3,103.7,109.16,112.74,120.1
"kacsd","ph",7.7,7.8,7.9,7.9,8,8.1,8.1,8.2,8.3
"kacsd","turb",0,0,0,0,1,1,2,2,16
"kacse","temp",3.4,3.76,4.16,5.5,6.9,9.4,10.27,10.385,10.9
"kacse","spcond",46.27,46.804,47.045,47.81625,48.675,49.5425,50.508,50.9625,51.1
"kacse","sal",29.8,30.22,30.42,30.8,31.2,31.8,32.28,32.48,32.7
"kacse","do_mgl",8.6,8.69,8.78,8.9,9.5,10.55,11.36,11.62,11.8
"kacse","do_pct",89.65,90.685,92.4,94.15,96,104.95,109.38,111.56,121.1
"kacse","ph",7.7,7.7,7.7,7.9,8,8.1,8.1,8.195,8.2
"kacse","turb",0,0,0.9,1,1,1.25,2,2.05,3
"kacss","temp",1.1,2.9,3.37,4.5,6.55,9.4,10.63,11.2,12.5
"kacss","spcond",44.575,45.6035,46.009,46.8675,47.855,48.745,49.321,49.677,50.95
"kacss","sal",28.6,29.315,29.63,30.2,30.7,31.125,31.5,31.6,32.5
"kacss","do_mgl",8.4,8.8,9,9.4,10.3,11.425,12.01,12.5,14.7
"kacss","do_pct",89.3,91.2,92.3,94.5,101.7,114.2,121.5,124.5,141
"kacss","ph",7.7,7.8,7.9,8,8,8.1,8.2,8.2,8.4
"kacss","turb",-1,0,0,0,1,1,2,2,10
"lksba","temp",0.5,2.525,3.95,8.2,15.4,19.925,22,22.575,24.9
"lksba","spcond",0.145,0.16,0.17,0.1725,0.195,0.21,0.245,0.2575,0.31
"lksba","sal",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"lksba","do_mgl",5,6.115,6.73,7.6,9,10.825,11.785,12.455,13.9
"lksba","do_pct",58.8,67.76,74.88,80.375,86.75,93.2625,98.17,100.31,110.8
"lksba","ph",7.2,7.3,7.4,7.5,7.6,7.8,7.9,8,8.3
"lksba","turb",1,3.2,4,6,8,11,13,17.8,43.5
"lksbl","temp",0.4,7.14,8.23,11.45,16.6,19.775,21.3,21.835,24.3
"lksbl","spcond",0.11,0.13,0.14,0.16,0.19,0.21,0.25,0.265,0.29
"lksbl","sal",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"lksbl","do_mgl",6,6.95,7.3,7.8,8.9,10.25,11.2,11.5,13.1
"lksbl","do_pct",70,78.4,80.06,83.225,87.85,93.325,97.33,99.2275,105.5
"lksbl","ph",7.3,7.4,7.5,7.6,7.7,7.8,8,8,8.3
"lksbl","turb",4,5,5,7,8,12,13,14.9,23
"lksol","temp",0,3.08,5.98,10.9,18.4,22.7,23.38,24.26,25.6
"lksol","spcond",0.1,0.11,0.122,0.14,0.19,0.23,0.258,0.292,0.36
"lksol","sal",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.139999999999999,0.2
"lksol","do_mgl",6.9,7.1,7.4,7.775,8.7,10.725,12.27,13.45,14.7
"lksol","do_pct",81,84.455,85.21,87.95,92.45,97.775,101.28,102.89,104.2
"lksol","ph",7.4,7.4,7.5,7.6,7.7,7.8,8,8.1,8.3
"lksol","turb",3,4,5,5,7,9,10,12,18
"lkspo","temp",1.8,6.5,7.17,10.65,17.1,22.05,23.49,24.365,25.7
"lkspo","spcond",0.12,0.14,0.17,0.18,0.22,0.26,0.28,0.3,0.34
"lkspo","sal",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
"lkspo","do_mgl",2.5,3,3.6,4.7,6.2,8.4,9.4,10.8,12
"lkspo","do_pct",29.7,35,38.6,53.3,64.2,75.6,84.5,88.65,91.6
"lkspo","ph",7.1,7.1,7.1,7.2,7.4,7.5,7.6,7.7,7.7
"lkspo","turb",12,16,20,35,55,76,93,99,191.5
"marab","temp",10.75,13.1,14.7,17.8,24.3,29.2,30.2,30.55,31
"marab","spcond",12.5,27.274,31.477,37.67,45.39,50.07,55.512,58.026,60.17
"marab","sal",7.1,16.68,19.58,23.8,29.4,32.8,36.74,38.52,40.3
"marab","do_mgl",5.2,5.8,5.9,6.275,7,7.8,8.76,9.13,10.2
"marab","do_pct",74.2,91.535,92.2,94.7,97.2,99.725,101.065,102.23,113.8
"marab","ph",7.8,8,8,8.1,8.2,8.3,8.3,8.3,8.5
"marab","turb",3,5,5,7,9,12,16,19,32
"marce","temp",8.6,13,14.5,17.775,25.1,29.4,30.4,30.515,31.1
"marce","spcond",3.47,15.4915,18.266,25.62375,37.3475,47.99,53.6495,57.004,61.27
"marce","sal",1.8,9.055,10.76,15.65,23.65,31.3,35.37,37.835,41.1
"marce","do_mgl",5.7,5.9,6.04,6.5,7.1,8.1,9,9.6,10.2
"marce","do_pct",86.2,91.05,92.25,94.575,96.5,99.7,101.175,102.025,105.3
"marce","ph",7.8,7.9,8,8,8.1,8.2,8.3,8.3,8.5
"marce","turb",1,3,4,7,11,17,25,30,48
"marcw","temp",10.8,13.12,14.4,17.9,24.2,29.4,30.3,30.5,31.3
"marcw","spcond",1.99,6.359,11.975,18.7775,32.82,48.215,54.931,58.514,62.22
"marcw","sal",1,3.505,6.83,11.05,20.45,31.45,36.2,39.07,41.7
"marcw","do_mgl",5.6,5.92,6.2,6.6,7.2,8.3,9.1,9.7,11.1
"marcw","do_pct",89.7,91.94,92.84,95.2,97,99.1,100.86,101.96,108.6
"marcw","ph",7.9,7.9,8,8.1,8.1,8.3,8.34,8.4,8.6
"marcw","turb",2,6,8.3,12.75,19,29.125,45,53.4,69
"marmb","temp",10.4,13.08,14.69,17.9625,24.4,29.3,30.4,30.6,31.1
"marmb","spcond",11.99,23.112,25.006,31.76,40.85,47.435,53.008,56.737,60.95
"marmb","sal",6.8,13.89,15.22,19.75,26.1,30.85,34.84,37.55,40.7
"marmb","do_mgl",5.4,5.8,6.1,6.5,7.1,8.15,9.18,9.63,10.2
"marmb","do_pct",88.15,90.84,93.04,94.65,97,100.1,102.6,104.12,109.25
"marmb","ph",7.8,8,8,8.1,8.2,8.3,8.3,8.4,8.7
"marmb","turb",2,4,6,10,17,26,39.6,49.65,79
"marsc","temp",10.9,13.385,15.17,17.8,24.55,28.7,29.51,29.905,30.6
"marsc","spcond",38.95,43.182,44.5,46.39875,48.855,52.97,55.781,56.363,57.5
"marsc","sal",24.8,27.81,28.8,30.1,31.85,34.875,36.93,37.33,38.3
"marsc","do_mgl",5.2,5.69,5.8,6.1,6.7,7.65,8.4,8.5,9.2
"marsc","do_pct",80.3,88.24,90.76,93.7,96.3,97.9,99.34,99.91,103.5
"marsc","ph",7.8,8,8,8.1,8.2,8.2,8.2,8.3,8.4
"marsc","turb",1,2,3,5,7,10.25,13,15,55
"narnc","temp",1.3,3.79,4.99,8.725,15.4,21.7,24.71,25.4,26.2
"narnc","spcond",25.9,36.95375,40.475,42.05875,44.27,45.86875,46.855,47.355,48.85
"narnc","sal",15.6,23.3,25.74,26.9,28.4,29.5,30.5,30.8,31.9
"narnc","do_mgl",1,4.1,4.44,5.3,7.1,9.3,10.36,11,12.2
"narnc","do_pct",14.65,56.75,62.46,71.85,84.1,92.65,97.44,100.01,105.8
"narnc","ph",7,7.2,7.2,7.3,7.5,7.7,7.9,7.9,8
"narnc","turb",0,1,1,1,2,3,3,4,11
"narpc","temp",-1.1,1.85,3.1,5.1,11.9,19.65,22.7,23.5,24.7
"narpc","spcond",35.28,41.85,42.534,43.575,45.22,46.35,47.112,47.356,48.85
"narpc","sal",22.2,26.5,27.2,27.9,28.9,29.8,30.32,30.66,31.2
"narpc","do_mgl",3.8,5.7,5.9,6.95,8.7,10.9,12,12.55,13.5
"narpc","do_pct",50.8,77.275,81.6,88.85,95.9,102.65,109.3,111.95,121.7
"narpc","ph",7.5,7.7,7.7,7.8,7.9,8.1,8.3,8.3,8.5
"narpc","turb",0,0,0,1,1,1,2,2,3
"nartb","temp",0,2.44,3.6,5.8,11.4,18.6,20.8,21.68,22.8
"nartb","spcond",43.89,45.78275,46.076,46.665,47.405,48.02,48.693,49.205,51.61
"nartb","sal",27.7,29.4475,29.69,30.1,30.5,31,31.5,31.7,33.4
"nartb","do_mgl",5,5.82,6.1,6.8,8.5,10.1,10.7,11.18,12.4
"nartb","do_pct",67.9,75.64,81.24,86.9,93,97.2,101.12,103.2,109.2
"nartb","ph",7.6,7.8,7.8,7.9,8,8.1,8.2,8.23,8.7
"nartb","turb",0,0,0,1,1,2,2,2,4
"narts","temp",-0.1,2.23,3.33,5.675,12.2,19.225,21.87,22.8,23.6
"narts","spcond",35.7,44.029,44.418,45.27,46.73,47.64,48.3,48.54,50.48
"narts","sal",22.4,28.09,28.48,29.1,30.1,30.7,31.3,31.6,31.9
"narts","do_mgl",5.8,6.4,6.6,7.2,8.55,10.4,11.3,11.7,12.8
"narts","do_pct",77.8,85.505,87.72,91.4,96.3,101.525,105.77,109.05,117.2
"narts","ph",7.5,7.8,7.8,7.9,8,8.1,8.2,8.2,8.4
"narts","turb",0,0,0,0,1,1,1,2,5
"nartw","temp",4.3,4.39,4.48,5.2,9.4,14.25,18.22,19.51,20.8
"nartw","spcond",46.11,46.218,46.326,46.4925,47.13,48.51,48.994,48.997,49
"nartw","sal",29.9,29.93,29.96,30.05,30.7,31,31.24,31.27,31.3
"nartw","do_mgl",10.4,10.405,10.41,10.425,10.45,10.475,10.49,10.495,10.5
"nartw","do_pct",98.3,98.355,98.41,98.575,98.85,99.125,99.29,99.345,99.4
"nartw","ph",7.6,7.69,7.78,7.9,7.9,8,8.04,8.07,8.1
"nartw","turb",0,0,0,0.5,2,2,2.4,2.7,3
"niwcb","temp",7.2,10.15,11.2,13.7,20.8,27.1,28.5,29.05,30
"niwcb","spcond",33.4,42.476,46.347,49.525,51.85,53.315,54.202,54.651,56.77
"niwcb","sal",21,27.19,30.08,32.25,34.1,35.175,35.71,36.1,37.7
"niwcb","do_mgl",3.7,4.3,4.5,5,6.2,7.85,8.5,8.85,9.5
"niwcb","do_pct",56.7,67.575,70.4,75.8,83.9,91.975,95.4,96.45,102.1
"niwcb","ph",7.4,7.5,7.53,7.6,7.7,7.9,7.9,8,8.1
"niwcb","turb",2,3,4,6,10,13,15,16,25
"niwdc","temp",7.4,10.1675,10.99,13.725,21.05,27.3375,28.8,29.2,30.35
"niwdc","spcond",33.82,39.842,43.91,47.78,51.25,52.85,53.706,54.36,55.99
"niwdc","sal",21.1,25.32,28.26,31.2,33.6,34.7,35.5,35.96,37.1
"niwdc","do_mgl",4.2,4.445,4.7,5.1,6.35,7.975,8.7,9,9.8
"niwdc","do_pct",62.45,69.1725,72.385,77.2,85.45,92.875,96.3,97.1825,100.9
"niwdc","ph",7.3,7.5,7.5,7.6,7.7,7.8,7.9,8,8.2
"niwdc","turb",2,4,4,6,9,12,14,15,19
"niwol","temp",7.5,10.255,11.2,13.875,21.4,27.4,28.9,29.3,30.3
"niwol","spcond",31.42,39.4115,44.454,48.56,51.785,53.36,54.312,55.02725,56.465
"niwol","sal",19.5,25.01,28.71,31.55,34,35.1,35.8,36.4,37.4
"niwol","do_mgl",3.1,3.8,4,4.5,5.9,7.55,8.4,8.845,9.7
"niwol","do_pct",49,58.555,61.735,68.8375,79.525,89.4,93.38,95.315,99.4
"niwol","ph",7.3,7.4,7.4,7.5,7.6,7.75,7.9,7.9,8.1
"niwol","turb",2,4,4.1,7,11,14,17,19,27
"niwta","temp",6.7,8.95,10.1,13.3,20.6,26.9,28.7,29.15,29.7
"niwta","spcond",0.21,0.49,1.4,5.065,11.63,19.1,25.595,28,37.71
"niwta","sal",0.1,0.25,0.9,2.725,6.6,11.3,15.5,17.2,23.9
"niwta","do_mgl",3.7,4.545,4.7,5.1,6.8,8.6,9.61,10.31,11.5
"niwta","do_pct",50.3,59.745,62.595,68.1,77.25,85.75,89.9,91.755,109.1
"niwta","ph",5.9,6.6,6.7,6.9,7.1,7.2,7.4,7.6,7.9
"niwta","turb",12,16,19,23,30,39,50.2,54,126
"niwwb","temp",6.9,10.68,11.76,14.05,21.8,27.7,29.22,29.6,30.2
"niwwb","spcond",0.09,0.1,0.129,5.8,15.275,21.61125,25.7125,26.3385,30.235
"niwwb","sal",0,0.1,0.1,3.15,8.95,12.925,15.62,16.115,18.7
"niwwb","do_mgl",3,4.295,4.5,5,6.15,8.425,8.91,9.31,10.7
"niwwb","do_pct",32.8,56.01,58.69,68.325,76,85.125,87.5,90.84,94.3
"niwwb","ph",6.1,6.495,6.69,6.9,7.3,7.5,7.7,7.7,7.8
"niwwb","turb",13,16,19,26.75,32,38.25,44.2,49,61
"niwws","temp",7.1,10.38,11.46,13.8,21.85,27.7,29.4,29.705,30.4
"niwws","spcond",0.09,0.1,0.119,2.45,6.6025,13.11,17.1175,18.07125,23.55
"niwws","sal",0,0.1,0.1,1.25,3.65,7.525,10.03,10.6225,14.2
"niwws","do_mgl",2.9,4.4,4.79,5.475,6.6,8.525,9.01,9.6,11
"niwws","do_pct",32.2,56.57,62.345,71.475,77.75,84.475,87.7,91.34,94.2
"niwws","ph",6.1,6.495,6.5,6.8,7.1,7.3,7.4,7.505,7.6
"niwws","turb",11,13,14,15.75,18,21,24,26.1,34
"nocec","temp",6,8.825,10.1,13,20.4,26.9,28.9,29.4,30.2
"nocec","spcond",8.905,18.3235,21.7105,28.575,35.4275,41.09,45.7155,48.13175,51.68
"nocec","sal",5,10.85,12.97,17.625,22.35,26.3,29.6,31.32,34
"nocec","do_mgl",4.4,5.6,5.7,6.1,7.4,9.1,10,10.645,11.4
"nocec","do_pct",62.3,79.1875,82.575,87.275,92.55,96.275,100.35,103.625,114.2
"nocec","ph",6.9,7.5,7.6,7.7,7.8,8,8.2,8.3,8.5
"nocec","turb",1,4,6,7,10,12,17,20.3,133
"noclc","temp",6.6,9.33,10.7,13.25,20.6,26.2,27.7,28.1,29.5
"noclc","spcond",37.085,46.315,46.885,48.6275,50.585,52.34625,53.2775,53.79,54.97
"noclc","sal",23.4,29.85,30.4,31.7,33.05,34.475,35.15,35.5,36.4
"noclc","do_mgl",5.1,5.7,5.8,6.1,7.2,8.4,9,9.3,9.8
