"station","param","p_0","p_5","p_10","p_25","p_50","p_75","p_90","p_95","p_100"
"owcwm","sal",0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4
"owcwm","do_mgl",1.5,2.765,3.43,5.725,7.8,10.4,11.8,12.935,14.6
"owcwm","do_pct",18.5,32.1,40.68,65.7,81.2,90.6,96.62,100.42,113.1
"owcwm","ph",7,7.2,7.3,7.5,7.7,7.9,8,8.1,8.6
"owcwm","turb",3,10,12,20,30,47,69,87.8999999999999,280
"pdbbp","temp",5.5,6.4,7,7.75,10.9,14.65,16.4,17.1,18.2
"pdbbp","spcond",42,43.102,43.547,44.21,44.93,45.53,46.088,46.359,48.12
"pdbbp","sal",27,27.62,27.9,28.4,28.9,29.2,29.7,29.9,31.1
"pdbbp","do_mgl",7.5,8.04,8.3,8.8,9.5,10.4,10.9,11.16,13.2
"pdbbp","do_pct",83.35,86.3,88.04,91,102.2,116.85,126.42,130,159.5
"pdbbp","ph",7.6,7.7,7.7,7.8,8,8.3,8.4,8.4,8.6
"pdbbp","turb",0,1,1,1,2,3,4,5,7
"pdbby","temp",6.2,6.9,7.2,8,10.25,13.2,14.5,15.055,16.2
"pdbby","spcond",43.29,44.131,44.409,44.8275,45.395,45.88375,46.352,46.663,48.48
"pdbby","sal",27.9,28.3,28.5,28.8125,29.275,29.6,29.9,30,31.2
"pdbby","do_mgl",7.1,7.4,7.64,8,8.7,9.3,9.76,10.2,10.8
"pdbby","do_pct",78,81.5,83.21,86.6,93,99.9,104.7,107.5,115.4
"pdbby","ph",7.6,7.7,7.7,7.8,7.9,8,8.1,8.185,8.3
"pdbby","turb",1,1,1,2,2,3,4,4,7
"pdbgd","temp",7.2,7.3,7.52,8.3,9.7,11,11.8,11.88,12.2
"pdbgd","spcond",44.67,45.135,45.51,45.9025,46.31,46.645,46.89,47.015,47.29
"pdbgd","sal",28.8,29.1,29.3,29.55,29.8,30.1,30.3,30.45,30.6
"pdbgd","do_mgl",5.5,5.7,5.9,6.3,7.1,8.2,8.62,8.76,9.1
"pdbgd","do_pct",61.3,63.28,65.495,68.35,76.15,84.05,88.54,89.885,92.2
"pdbgd","ph",7.6,7.63,7.7,7.7,7.8,7.8,7.9,7.9,7.9
"pdbgd","turb",1,2,2,2,2,3,3,4,13
"pdbgs","temp",6.7,7.1,7.5,8.3,10.65,12.7,13.8,14,14.7
"pdbgs","spcond",41,43.29,43.775,44.80875,45.54,46.09,46.54,46.73625,47.61
"pdbgs","sal",26.2,27.85,28.2,28.875,29.3,29.8,30,30.2,30.6
"pdbgs","do_mgl",6.7,7.2,7.4,7.95,8.7,9.2,9.5,9.81,10.5
"pdbgs","do_pct",73.75,78.58,80.98,84.95,92.6,99,104.46,106.89,112.9
"pdbgs","ph",7.5,7.7,7.7,7.8,7.9,8,8.1,8.2,8.3
"pdbgs","turb",0,1,1,1,1,2,2,2,4
"pdbje","temp",4.7,5.905,6.51,7.825,11.9,17.25,20.29,21.6,23.5
"pdbje","spcond",0.87,30.20475,36.277,38.56875,41.115,42.65875,43.5385,44.19425,45.21
"pdbje","sal",0.4,18.735,22.52,24.325,26.1,27.3,28.1,28.595,29.3
"pdbje","do_mgl",3.7,5.47,6.08,7,8.2,8.8,9.32,9.51,10
"pdbje","do_pct",41.2,64.115,68.68,74.95,82.95,95.475,108.92,114.72,123.3
"pdbje","ph",6.7,7.1,7.3,7.4,7.6,8,8.29,8.3,8.5
"pdbje","turb",5,7,8,10,12.5,15,21,27,61
"pdbjl","temp",3.9,6.25,6.7,7.925,11.05,15.2,18,19.575,20.5
"pdbjl","spcond",0.36,0.4925,0.6275,1.94875,3.7325,6.645,11.72,18.52,33.545
"pdbjl","sal",0.2,0.2,0.3,1.0125,2,3.625,6.675,11.025,21.1
"pdbjl","do_mgl",3.6,4.6,4.9,5.3,5.9,6.575,7,7.275,8.8
"pdbjl","do_pct",33.2,42.675,43.95,49.1125,53.85,62.975,70.3,74.8375,106.8
"pdbjl","ph",6.6,6.6,6.7,6.8,6.9,7,7.15,7.3,8
"pdbjl","turb",6,10.3,15,19.5,27,34.5,42.8,45,60
"pdbjt","temp",5.2,5.37,5.54,6.05,6.9,9.1,10.42,10.86,11.3
"pdbjt","spcond",2.46,2.5115,2.563,2.7175,2.975,4.3875,5.235,5.5175,5.8
"pdbjt","sal",1.3,1.33,1.36,1.45,1.6,2.4,2.88,3.04,3.2
"pdbjt","do_mgl",5,5.03,5.06,5.15,5.3,5.85,6.18,6.29,6.4
"pdbjt","do_pct",44.2,44.5,44.8,45.7,47.2,48.4,49.12,49.36,49.6
"pdbjt","ph",6.7,6.71,6.72,6.75,6.8,6.9,6.96,6.98,7
"pdbjt","turb",11,12,13,16,21,23,24.2,24.6,25
"rkbfb","temp",17.5,20.39,21.4,23.7,27.1,29.975,30.9,31.1,32.1
"rkbfb","spcond",15.025,24.7045,28.738,36.3525,45.98,52.0475,55.362,56.763,62.22
"rkbfb","sal",8.7,14.97,17.65,22.875,29.9,34.225,36.7,37.765,41.8
"rkbfb","do_mgl",0.3,3.745,3.9,4.4,5.2,6.2,6.7,6.9,7.9
"rkbfb","do_pct",3.9,55.245,57.59,65.6,77.15,87,90.22,93.21,98.5
"rkbfb","ph",7.3,7.7,7.7,7.8,7.8,7.9,8,8,8.4
"rkbfb","turb",3,4,5,6,8,10,12.5,15.75,32
"rkbfu","temp",16.3,19.745,20.8,23.4,26.95,29.3,30.31,30.8,31.4
"rkbfu","spcond",0.63,6.6865,14.099,26.09625,42.2375,50.2825,55.134,56.49875,60.79
"rkbfu","sal",0.3,3.645,8.095,15.925,27.1,32.975,36.52,37.555,40.7
"rkbfu","do_mgl",0.9,3.4,3.7,4.2,5,5.9,6.5,6.7,7.8
"rkbfu","do_pct",11.1,48.6,52.62,60.3,73.7,82.8,85.8,88.3,93.7
"rkbfu","ph",7.1,7.4,7.5,7.6,7.7,7.8,7.9,7.9,8.1
"rkbfu","turb",2,4,5,5,7,8,10,11,16
"rkblh","temp",16.1,19.84,20.6,23,27.1,30.1,31.1,31.3,31.8
"rkblh","spcond",25.06,37.732,39.822,45.065,50.53,53.19,55.274,56.319,60.16
"rkblh","sal",15.2,23.8,25.26,29.05,33.1,35.1,36.64,37.3,40.2
"rkblh","do_mgl",3.7,4.3,4.5,4.8,5.4,6.15,6.7,7,8
"rkblh","do_pct",55.2,65.45,68.7,74.7,81.7,87.3,90.9,92.025,99.7
"rkblh","ph",7.6,7.7,7.7,7.8,7.9,7.9,8,8,8.3
"rkblh","turb",2,4,5,6,8,11,14,15,20
"rkbmb","temp",16.6,20.13,20.9,23.3,26.9,29.6,30.4,30.77,31.3
"rkbmb","spcond",9.26,27.0125,33.7,41.70375,50.5925,54.04,55.758,56.4185,62.075
"rkbmb","sal",5.15,16.525,20.97,26.6375,33.2,35.7,37,37.5,41.7
"rkbmb","do_mgl",0.3,2.5,2.7,3.25,4.4,5.35,5.8,6.1,7.3
"rkbmb","do_pct",3.3,36.4,39.8,49.15,66.6,76.15,80.3,83.275,92.5
"rkbmb","ph",7.2,7.5,7.5,7.6,7.7,7.8,7.9,7.98,8.1
"rkbmb","turb",4,6,6,8,10,12,14,16,24
"rkbpb","temp",18.4,20.41,21.65,24.15,27.05,30.5,30.99,31.49,31.5
"rkbpb","spcond",20.615,28.74075,34.149,37.7375,46.495,51.6475,54.202,55.7215,57.64
"rkbpb","sal",12.2,17.635,21.34,23.775,30.15,33.95,35.78,36.975,38.3
"rkbpb","do_mgl",1.1,3.5,3.61,4.1,4.9,5.7,6.19,6.595,7.3
"rkbpb","do_pct",16.3,53.545,55.11,61.875,75.25,82.2,85.425,87.17,93.7
"rkbpb","ph",7.4,7.7,7.7,7.8,7.8,7.9,7.9,8,8
"rkbpb","turb",5,7,7.1,8.25,10,12,13.9,14.95,17
"sapca","temp",8.7,12.24,12.76,15.3,22.5,28,29.64,30.1,30.9
"sapca","spcond",15.99,43.48625,44.7225,46.7075,48.6475,51.0025,51.99,52.535,55.42
"sapca","sal",9.4,28.05,28.95,30.3,31.7,33.4,34.15,34.525,36.6
"sapca","do_mgl",3.5,4.5,5,5.5,6.5,7.6,8.17,8.6,9.6
"sapca","do_pct",53,68.285,75.84,83.95,88.25,93.3,96.1,97.76,111.75
"sapca","ph",6.5,7.6,7.6,7.7,7.8,7.9,8.1,8.205,8.9
"sapca","turb",-3,7,9,12,16,21.25,25.9,30,45
"sapdc","temp",9,11.8375,13,15.775,22.6,28.025,29.6,30,33
"sapdc","spcond",16.54,27.091,31.2515,35.92,42.4,47.1525,49.289,50.735,54.42
"sapdc","sal",9.7,16.59,19.48,22.725,27.1,30.6,32.11,33.31,35.9
"sapdc","do_mgl",1.8,2.8,3,3.6,4.9,6.325,7.3,7.8,9.4
"sapdc","do_pct",26.3,43.3875,45.725,54.1625,65.925,75.7875,81.45,85.7125,94.7
"sapdc","ph",6.6,7.1,7.2,7.3,7.4,7.5,7.7,7.86,8.5
"sapdc","turb",3,7,9,12,16,21,24,27.05,99
"sapfd","temp",9.8,11.33,11.76,17.9,24.9,28.9,29.84,30.18,30.4
"sapfd","spcond",24.195,26.9475,28.2175,34.68125,37.01,42.1725,43.0925,43.3975,46.3
"sapfd","sal",14.7,16.55,17.3,21.825,23.4,27.0375,27.7,27.875,29.9
"sapfd","do_mgl",3.2,3.34,3.72,4.375,5.2,7.7,9.8,10.36,11.05
"sapfd","do_pct",47.85,48.695,54.16,61.9,79.15,91.025,106.74,107.16,119.6
"sapfd","ph",6.8,6.83,7.03,7.1,7.2,7.5,7.67,7.7,7.7
"sapfd","turb",3,3,3.1,6.25,8.5,11.75,15,15.95,16
"saphd","temp",9.3,11.3,12.68,15.675,22.8,28.7,30.11,30.6,31.6
"saphd","spcond",16.73,26.117,29.875,33.7375,40.02,44.935,48.191,49.442,53.55
"saphd","sal",9.8,15.995,18.57,21.1,25.45,28.925,31.31,32.4,35.4
"saphd","do_mgl",2,3.3,3.5,3.95,5.3,7.175,8.3,9.05,11.1
"saphd","do_pct",24.5,50.2425,52.81,58.0375,69.1,84.025,90.79,97.46,120
"saphd","ph",6.6,7.1,7.1,7.2,7.4,7.6,7.8,7.9,8.1
"saphd","turb",-1,2,3,5,7,10,14,17,172
"sapld","temp",8.8,11.4,12.7,15.6,21.95,27.975,29.6,30,31
"sapld","spcond",25.24,32.719,35.23,38.23625,42.0575,46.0825,48.649,49.8595,54.37
"sapld","sal",15.4,20.505,22.2,24.2,26.975,29.725,31.8,32.6,35.9
"sapld","do_mgl",2.6,4.2,4.44,5.05,6.1,7.65,8.5,9.03,10.9
"sapld","do_pct",39.7,63.77,66.76,74.05,83.2,90.2,94.8,98.995,116.9
"sapld","ph",6.7,7.4,7.5,7.6,7.7,7.8,8,8.2,8.8
"sapld","turb",1,11,16,21,25,32,39,42,72
"sapml","temp",9.8,11.03,11.35,14.925,22.6,27.5,29.07,29.485,29.7
"sapml","spcond",25.01,28.813,31.354,36.29375,40.905,42.7575,44.011,45.87225,48.16
"sapml","sal",15.3,17.81,19.48,22.9,26.175,27.425,28.33,29.62,31.3
"sapml","do_mgl",4.3,5,5.04,5.35,6.8,9.25,10.3,12.46,98.4
"sapml","do_pct",66.2,70.16,72.32,79.1,85.3,96.05,106.46,109.57,135.4
"sapml","ph",7.4,7.405,7.5,7.6,7.7,7.9,8.17,8.2,8.2
"sapml","turb",10,10.7,12.2,15,18,22,28.8,32.6,34
"sfbcc","temp",8.8,10.145,10.99,12.8,16.35,19.5,20.5,20.81,22.1
"sfbcc","spcond",2.59,17.423,23.802,32.915,37.03,40.525,42.792,43.57,45.94
"sfbcc","sal",1.4,10.3,14.48,20.6,23.5,25.95,27.6,28.1,29.8
"sfbcc","do_mgl",6.2,6.8,7,7.3,7.8,8.8,9.25,9.6,10.7
"sfbcc","do_pct",78.7,85.825,86.8,88.7,91.35,94.125,96.3,98.5,115.6
"sfbcc","ph",7.6,7.7,7.7,7.8,7.8,7.9,8,8.1,8.7
"sfbcc","turb",7,15.35,17.7,25.75,43.5,63,80.3,88,180.5
"sfbfm","temp",7,9.055,9.71,12.6,17.35,20.825,21.59,21.9,23.2
"sfbfm","spcond",0.89,1.7445,2.416,4.0325,7.2,12.025,14.804,16.023,19.75
"sfbfm","sal",0.4,0.9,1.26,2.2,4,6.9,8.66,9.4,11.8
"sfbfm","do_mgl",4.1,5.7,6.1,6.5,7,7.6,8.2,8.7,9.1
"sfbfm","do_pct",43.2,60.865,65.34,69.75,74.05,77.4,79.7,82.06,89.2
"sfbfm","ph",7.1,7.3,7.3,7.4,7.6,7.6,7.7,7.8,7.8
"sfbfm","turb",20,24,26,32,40,53.25,66,72.9,89
"sfbgc","temp",7.2,9.19,10.2,12.5,16.9,21.4,23,23.4,24.4
"sfbgc","spcond",1.58,9.583,15.874,26.74,34.65,41.21,43.728,45.366,47.87
"sfbgc","sal",0.8,5.42,9.34,16.4,21.8,26.4,28.24,29.36,31.2
"sfbgc","do_mgl",4.2,4.69,5,5.6,7.1,8.6,9.2,9.3,11.1
"sfbgc","do_pct",54.9,62.495,65.53,71.4,79.5,88.35,92.8,99.49,111.7
"sfbgc","ph",7.3,7.4,7.5,7.6,7.7,7.8,8,8.26,8.6
"sfbgc","turb",12,18,23,29,39,54,69,78,131
"sfbsm","temp",7,9.15,9.8,12.6,17.2,21,21.7,22.1,23.4
"sfbsm","spcond",0.76,0.94775,1.973,3.91875,7.2,11.4625,14.188,16.246,20.235
"sfbsm","sal",0.4,0.5,0.99,2.1,4,6.575,8.3,9.51,12.1
"sfbsm","do_mgl",5.9,6.25,6.4,6.7,7.5,8.3,9.1,9.4,9.8
"sfbsm","do_pct",59.1,71.3,73.1,76.8,79.4,82.35,84.9,86.7,91.6
"sfbsm","ph",7.2,7.235,7.3,7.4,7.5,7.5,7.6,7.7,7.8
"sfbsm","turb",18,22.45,24,28,35,47,62.2,70,101
"sosch","temp",8,9.2,9.7,10.45,12,13.3,14.1,14.495,16.6
"sosch","spcond",35.29,40.4485,41.6595,43.66125,47.115,49.7075,50.593,50.8345,52.64
"sosch","sal",22.2,25.785,26.67,28,30.55,32.5,33.1,33.3,34.5
"sosch","do_mgl",5,7.525,7.8,8.3,8.8,9.2,9.5,9.8,11
"sosch","do_pct",53.2,88.165,90.6,93.95,97.4,100.8125,104.38,106.545,122.55
"sosch","ph",7.7,7.8,7.8,7.9,8,8,8.1,8.2,8.4
"sosch","turb",0,1,2,3,3,4,5,7,24
"sosec","temp",6.5,8.6,9.3,10.325,13.65,17.2,18.4,18.695,20
"sosec","spcond",21.505,25.127,26.5775,30.20625,37.6775,44.09875,46.87,47.46025,48.53
"sosec","sal",12.9,15.285,16.26,18.6875,23.9,28.525,30.51,30.9025,31.7
"sosec","do_mgl",5.3,5.9,6.2,6.9,7.8,9,9.4,9.595,9.8
"sosec","do_pct",65.6,73.725,76.63,81.525,87.75,91.65,94.7,95.6,99.5
"sosec","ph",7.3,7.5,7.5,7.6,7.7,7.8,7.8,7.9,8
"sosec","turb",3,4,5,6,7,8,10,11.05,45
"sosse","temp",5.7,7.605,8.11,9.4,13.1,17.4,19.19,20,21.8
"sosse","spcond",0.38,1.7925,2.5185,11.07375,24.4025,34.855,38.7845,40.77225,43.26
"sosse","sal",0.2,0.89,1.29,6.3,14.75,21.95,24.74,26.125,27.8
"sosse","do_mgl",4.6,5.5,5.9,6.5,8.1,9.4,10.3,10.9,11.4
"sosse","do_pct",27.3,65.2,69.75,74.35,83.3,89.95,94.3,96.2,100.7
"sosse","ph",6.4,6.7,6.8,7.1,7.3,7.5,7.7,7.7,8
"sosse","turb",2,3,4,4,6,7,9,10,61
"sosva","temp",7.5,8.8,9.5,10.4,12.6,15,15.8,16.26,17.8
"sosva","spcond",29.61,34.423,35.701,38.855,44.25,48.56125,49.864,50.2885,53.16
"sosva","sal",18.3,21.6,22.48,24.6,28.6,31.7,32.66,32.98,35.1
"sosva","do_mgl",5.4,7.1,7.4,7.9,8.6,9.2,9.5,9.8,11.1
"sosva","do_pct",58.6,83.82,87.11,91,94.9,98.3,100.78,104.16,112.7
"sosva","ph",7.1,7.7,7.8,7.8,7.9,8,8.1,8.2,8.4
"sosva","turb",0,2,2,3,4,5,7,8,37
"soswi","temp",5.7,7.8,8.39,9.525,12.45,16.9,18.8,19.2,21
"soswi","spcond",0.22,0.5205,1.174,10.44125,24.2425,33.97,40.1085,42.32125,44.905
"soswi","sal",0.1,0.3,0.6,5.95,14.775,21.3,25.63,27.265,28.8
"soswi","do_mgl",5.1,5.8,6.17,7.1,8.55,9.7,10.4,10.7,11.6
"soswi","do_pct",60.35,68.49,71.9,79.475,86.8,91.25,94.22,95.81,110.65
"soswi","ph",6,6.7,6.8,7.1,7.3,7.4,7.5,7.6,7.8
"soswi","turb",1,3,4,5,7,9,13,16.05,55
"tjrbr","temp",13.1,13.785,14.3,15.25,17.3,19.4,21.22,21.93,24.5
"tjrbr","spcond",38.6,47.37075,48.8985,50.095,50.74,51.135,51.61,51.9285,53.2
"tjrbr","sal",24.6,30.83,31.89,32.875,33.3,33.6,34,34.2,35.2
"tjrbr","do_mgl",0.4,4.1,5,5.9,6.8,7.4,7.8,8,8.6
"tjrbr","do_pct",5.3,55.925,67,77.05,85.25,91.8,96.3,97.6,105.5
"tjrbr","ph",6.9,7.6,7.7,7.9,8,8.1,8.1,8.2,8.3
"tjrbr","turb",1,2,2,3,3,5,7,9,55
"tjrmm","temp",12.7,14.045,14.29,15.425,18.05,20.1,21.71,22.01,23.6
"tjrmm","spcond",25.77,46.807,49.53,52.515,53.8,55.54,56.946,58.232,60.09
"tjrmm","sal",15.8,30.42,32.46,34.6,35.6,36.8,37.91,38.88,40.3
"tjrmm","do_mgl",2.3,3.4,3.58,4.025,5.4,6.8,7.71,8.43,10.2
"tjrmm","do_pct",32.7,45.4075,47.955,56.8625,70.975,84.7375,92.1,105.005,125.85
"tjrmm","ph",7.3,7.42,7.5,7.6,7.7,7.9,8,8,8.2
"tjrmm","turb",3,4.95,5,6.75,10,14,20.1,21.05,81
"tjros","temp",11.2,13.9,14.2,15.6,18.8,21.2,22.66,23.7,26
"tjros","spcond",24.135,42.2205,45.49,48.95375,50.82,52.1625,53.116,54.087,54.86
"tjros","sal",14.7,27.145,29.515,32,33.4,34.325,35.1,35.8,36.3
"tjros","do_mgl",0.4,2.3375,3,3.7,5.2,6.5,7.5,7.8,9.3
"tjros","do_pct",5.2,33.475,41.8,51.8625,66.175,80.2,88.375,93.2,121
"tjros","ph",7.2,7.4,7.4,7.6,7.7,7.9,8.1,8.2,8.6
"tjros","turb",1,3,3,4,5,7,10,16,63
"tjrpe","temp",13.3,14.175,14.5,17.5,21.3,23.575,26,26.4,26.6
"tjrpe","spcond",62.92,64.86875,66.015,68.6,69.9225,71.0625,74.44,75.1475,77.31
"tjrpe","sal",42.3,43.95,44.8,46.65,47.9,48.75,51.5,52.025,53.8
"tjrpe","do_mgl",5.2,5.9,6,6.225,6.95,7.475,7.85,7.975,8.2
"tjrpe","do_pct",84.8,89.275,92.55,96.9,101.025,105.025,107.15,109,114.3
"tjrpe","ph",7.9,8.015,8.1,8.2,8.3,8.4,8.47,8.585,8.7
"tjrpe","turb",0,1.25,2,3,4.5,6,12,15.25,18
"tjrpr","temp",12.3,14.2,14.65,17.25,21.1,24.1,26,26.35,28.1
"tjrpr","spcond",40.1,44.965,47.395,50.25,53.68,54.9375,55.7,55.91,57.22
"tjrpr","sal",25.6,29.1,30.9,32.95,35.5,36.4,37,37.1,38.1
"tjrpr","do_mgl",4.4,5.2,5.3,5.625,6.25,7.175,7.81,8.155,8.8
"tjrpr","do_pct",69.05,77.435,78.79,81.6,85.075,89.425,94.81,96.2525,99.2
"tjrpr","ph",7.7,7.8,7.8,7.9,8,8.1,8.2,8.3,8.5
"tjrpr","turb",3,5,5,7,9,12,14,17,49
"tjrrc","temp",12.8,13.56,13.94,15.5,18.3,22.75,24.22,25.28,25.7
"tjrrc","spcond",2.28,2.503,2.642,2.8125,28.015,34.305,36.882,37.579,41.31
"tjrrc","sal",1.2,1.3,1.36,1.5,17.3,21.575,23.42,23.88,26.5
"tjrrc","do_mgl",0.4,0.66,0.98,1.45,2.4,2.85,3.49,3.91,5.4
"tjrrc","do_pct",5.6,7.68,11.77,18.8,25.5,30.675,35.94,41.8,63.75
"tjrrc","ph",7.2,7.2,7.2,7.3,7.3,7.5,7.6,7.6,7.7
"tjrrc","turb",4,5,5,6.25,9,15.75,18.95,28.5,176
"tjrsb","temp",10.2,13.89,14.68,16.6,21,23.8,25.7,26.2,26.7
"tjrsb","spcond",43.005,46.2165,47.614,50.025,53.54,54.77375,55.443,55.879,56.37
"tjrsb","sal",27.7,30.055,30.97,32.8,35.4,36.3,36.8,37.1,37.5
"tjrsb","do_mgl",4,5.3,5.4,5.9,6.5,7.3,7.93,8.4,9.2
"tjrsb","do_pct",58.9,77.68,80.27,83.825,87.9,92,96.26,98.265,102.7
"tjrsb","ph",7.6,7.8,7.88,7.9,8,8.1,8.2,8.3,8.4
"tjrsb","turb",2,3,3,5,7,10.5,15.6,18,27
"tjrtl","temp",12.1,13.625,14.08,17.15,20.15,23.05,24.04,24.27,25.8
"tjrtl","spcond",35.95,39.78525,41.178,44.1175,48.0425,50.4175,51.966,53.31575,53.65
"tjrtl","sal",22.7,25.41,26.26,28.45,31.2,33.15,34.24,35.28,35.4
"tjrtl","do_mgl",0,0.82,1.215,1.9375,4.15,6.025,7.19,11.015,16.4
"tjrtl","do_pct",10.1,18.43,23.83,32.1625,57.825,80.575,107.84,161.755,220.6
"tjrtl","ph",6.8,7.12,7.2,7.4,7.6,7.9,8,8.1,8.2
"tjrtl","turb",4,5,6,6,8,13.5,36,51.2,122
"welht","temp",0.2,1.6,2.4,6.4,12.4,17.1,19.38,20.12,21.4
"welht","spcond",0.09,0.11,0.11,0.14,0.2,0.6,16.992,23.138,32.91
"welht","sal",0,0.1,0.1,0.1,0.1,0.3,10.04,14.05,20.6
"welht","do_mgl",4.3,5.355,6.3,9.2,10.5,12.525,14,14.8,17.9
"welht","do_pct",51.6,63.875,72.405,95.8375,100.6,102.85,106.37,108.09,122.6
"welht","ph",5.4,6.1,6.3,6.5,6.8,6.9,7,7.1,7.3
"welht","turb",-2,1,1,1,2,3,4,4.65000000000001,15
"welin","temp",-0.1,1.94,2.9,4.7,9.3,15,17,17.8,20.2
"welin","spcond",42.76,44.864,45.61,46.67,48.08,49.5,50.428,51.112,53.18
"welin","sal",27.4,28.8,29.44,30.2,31.1,31.7,32.26,32.7,35
"welin","do_mgl",0.8,6.76,7.5,8,9.2,10.4,10.88,11.2,12.2
"welin","do_pct",9.9,72.3,88.18,93.5,97,101.6,105,107.14,111.5
"welin","ph",7,7.4,7.7,7.8,7.9,8,8.1,8.1,8.3
"welin","turb",-3,1,1,2,3,4,6,8,46
"wellm","temp",1.8,4.49,5.92,8.35,12.7,17.05,18.92,19.7,21.2
"wellm","spcond",1.92,6.261,10.194,21.3075,33.24,41.5475,43.659,45.06,49.69
"wellm","sal",1,3.39,5.7,12.825,20.7,26.675,28.2,29.2,31.7
"wellm","do_mgl",5.6,7.1175,7.5,8.1,8.95,10.3,11.42,12,14.4
"wellm","do_pct",66.8,86.5225,90.17,94.375,98.45,101.1375,103.165,104.475,107.6
"wellm","ph",6.8,7.13,7.3,7.6,7.8,7.9,8.1,8.17,8.5
"wellm","turb",1,2,2,3,3,5,6,9,14
"welml","temp",1.3,2.63,3.42,6.75,10.65,17.3,18.41,18.55,19.5
"welml","spcond",29.9,36.69725,40.2185,41.01375,44.845,47.10875,48.144,48.776,49.84
"welml","sal",18.1,22.755,25.61,26.15,28.75,30.525,31.41,31.51,31.7
"welml","do_mgl",7.1,7.48,7.59,8.05,8.9,10.075,11.45,11.92,12.3
"welml","do_pct",86.8,88.225,89.38,91.9,97.25,100.3,104.56,106.0825,107.65
"welml","ph",7.6,7.6,7.69,7.7,7.8,7.825,8,8,8
"welml","turb",1,1,1,2,3,4,6.4,7.7,9
"welsm","temp",0.1,1.92,4.14,7.9,13.5,17.7,20.06,20.78,22
"welsm","spcond",0.05,0.07,0.08,0.64,5.75,16.48,26.807,32.953,40.76
"welsm","sal",0,0,0,0.3,3.1,9.7,16.46,20.66,26.1
"welsm","do_mgl",6.6,7.295,7.6,8.2,9.2,10.95,12.72,13.6,15.3
"welsm","do_pct",79.6,85.58,87.64,92.2,95.7,98.9,101.82,102.5,105.6
"welsm","ph",5.9,6.3,6.4,6.8,7.2,7.5,7.7,7.8,8
"welsm","turb",-2,2,2,3,4,5,7,9.94999999999999,29
"wkbfr","temp",10,13.965,14.9,18.3,23.95,28.15,29.67,30.3,31.7
"wkbfr","spcond",0.08,0.23025,0.885,3.52,11.97,18.37,22.7015,24.3205,31.065
"wkbfr","sal",0,0.1,0.41,1.875,6.8,10.8,13.78,14.8,19.4
"wkbfr","do_mgl",0.6,4.2,4.9,5.7,7.05,8.775,9.91,10.555,13.3
"wkbfr","do_pct",7.6,56.175,63.09,72.5375,83,97.375,106.27,113.0125,127
"wkbfr","ph",5.7,6.1,6.4,6.8,7.2,7.8,8.2,8.4,8.8
"wkbfr","turb",-1,6,8,10,12,16,21,23,31
"wkbmb","temp",10.2,13.49,14.69,18.175,24.3,29,30.21,30.705,32.2
"wkbmb","spcond",0.17,2.303,3.822,8.245,15.99,23.515,27.7,30.0295,40.81
"wkbmb","sal",0.1,1.17,2.04,4.55,9.4,14.4,17.08,18.63,26
"wkbmb","do_mgl",3.1,4.6,5.5,6.5,7.8,9.1,10.3,10.91,12.8
"wkbmb","do_pct",9,63.405,72.06,84.875,94.5,102.75,108.83,114.34,124.95
"wkbmb","ph",6.1,7.1,7.4,7.6,7.9,8.2,8.5,8.6425,9.3
"wkbmb","turb",6,8,9,11,15,21,30,40,137
"wkbmr","temp",10.7,13.8,15.04,18.6,24.9,29.15,30.4,30.7,32
"wkbmr","spcond",0.13,1.992,3.206,6.79,15.495,21.43,26.45,28.508,33.825
"wkbmr","sal",0.1,1,1.68,3.7,9,12.8,16.26,17.6,21.3
"wkbmr","do_mgl",2.9,5.065,5.3,6.1,7.3,8.95,10.4,10.9,19.1
"wkbmr","do_pct",38.4,63.1325,71.19,81.1,91.85,101.875,110.87,115.025,133.9
"wkbmr","ph",6,6.84,7,7.4,7.7,8,8.3,8.46,8.9
"wkbmr","turb",5,8,10.2,14,17,24,32,36.4,57
"wkbwb","temp",10,13.1,14.1,17.575,24.1,28.9,30.3,30.745,32.1
"wkbwb","spcond",0.14,2.898,5.32,9.78,18.13,24.28,28.335,30.126,34.49
"wkbwb","sal",0.1,1.54,2.88,5.5,10.8,14.8,17.34,18.66,21.7
"wkbwb","do_mgl",1.9,5.3,5.75,6.7,7.75,9.4,10.8,11.575,12.8
"wkbwb","do_pct",26.7,73.015,80.43,89.1,96.7,105.975,112.19,115.925,131.5
"wkbwb","ph",6.2,7.145,7.4,7.7,7.9,8.2,8.4,8.5,8.9
"wkbwb","turb",5,6,8,10,15,20,27.5,34.75,144
"wqbcr","temp",0.7,2.52,4.32,8.3,16.6,22.8,25.68,26.4,27.1
"wqbcr","spcond",37.535,40.6555,41.37,42.1375,43.355,44.105,44.646,44.991,46.55
"wqbcr","sal",23.8,26,26.5,26.9,27.7,28.1,28.6,28.8,29.75
"wqbcr","do_mgl",1.6,3.1,3.43,5.4375,7.8,10.625,12.1,12.5925,14.2
"wqbcr","do_pct",22.3,42.335,48.535,72.0125,93.85,105.825,114.55,117.5925,130.6
"wqbcr","ph",6.9,7.2,7.4,7.5,7.8,8,8.15,8.3,8.8
"wqbcr","turb",-2,0,1,1,2,4,5,6,14
"wqbmh","temp",-1.5,1,2.4,4.4,12.9,20.4,23.86,24.565,25.7
