"code","SpCond","Temp","DO","pH","Turb","Chla","NH4","NO23","PO4","cluster","pca_id","Map.Number","Map.Code"
"heer9",53.02,25.8,6.5,8.1,0.301029995663981,-0.223662090379825,-2.69897000433602,-2.32330639037513,-2.43474265657979,"B",65,29,"hee"
"heew2",0.26,24.3,2.4,6.9,1.14612803567824,-0.0109953843014632,-2.03385826726097,-2.88605664769316,-1.90483064856824,"B",66,29,"hee"
"hudbm",1.37,13.4,9.3,7.7,1.17609125905568,0.298853076409707,-1.54515513999149,0.2405492482826,-1.431798275933,"A",67,8,"hud"
"hudsc",0.38,15.75,8.9,7.9,0.602059991327962,-0.0109953843014632,-1.50863830616573,-0.387216143280265,-1.46218090492673,"C",70,8,"hud"
"hudsk",0.42,15.2,10,8.2,0.301029995663981,0.00432137378264258,-2,-0.0912469808154663,-2.25963731050576,"C",71,8,"hud"
"hudtn",0.24,16.9,8.55,7.5,1.04139268515823,0.477121254719662,-1.45593195564972,-0.503070351926785,-2.01772876696043,"A",72,8,"hud"
"hudts",0.24,16.6,8.7,7.6,0.954242509439325,0.440121603187804,-1.52287874528034,-0.494850021680094,-2.00877392430751,"A",73,8,"hud"
"jacb6",45.705,15.7,8.25,8,0.954242509439325,0.66228551572213,-1.80966830182971,-2.30102999566398,-1.62893213772826,"C",75,9,"jac"
"jacb9",43.63,16.7,8,7.9,0.845098040014257,0.724685388237359,-1.82390874094432,-2.15490195998574,-1.61708286491247,"D",76,9,"jac"
"jacba",2.99,16.1,8.4,6.3,1.11394335230684,0.414137362184477,-1.85387196432176,-0.919012953089113,-2.22184874961636,"A",77,9,"jac"
"jacne",24.72,15.5,8.4,7.3,0.778151250383644,0.608793373986931,-1.39794000867204,-1.30102999566398,-1.74472749489669,"A",78,9,"jac"
"job09",56.01,29.2,4.3,7.7,0.301029995663981,0.496583734489095,-1.21236244312158,-2.56066730616974,-2.4467239538629,"B",80,30,"job"
"job10",55.5775,29.3,5.2,7.8,0,0.164352855784437,-1.20848478805837,-2.33724216831843,-2.88605664769316,"B",81,30,"job"
"job19",54.265,28.8,6.3,8.1,0,-0.244125144327509,-1.38169035887657,-2.62893213772826,-2.93930215964639,"B",84,30,"job"
"job20",54.14,28.6,6.2,8.1,0.301029995663981,-0.494850021680094,-1.33535802444387,-2.56066730616974,-2.86966623150499,"B",85,30,"job"
"kachd",48.14,6.2,9.9,8,0.301029995663981,-0.0154726866562074,-1.68420452649306,-0.943666965048838,-1.51286162452281,"C",89,28,"kac"
"kachs",45.515,8.6,10.8,8.1,0.477121254719662,0.136720567156407,-1.85387196432176,-1.03027354456385,-1.60511074283258,"C",92,28,"kac"
"kacsd",48.625,6.75,9.8,8,0,0.0530784434834197,-1.7972393126068,-0.875251308802998,-1.53760200210104,"C",94,28,"kac"
"kacss",47.855,6.55,10.3,8,0,0.161368002234975,-1.7514137561449,-0.895769034069199,-1.57348873863542,"C",96,28,"kac"
"lksba",0.195,15.4,9,7.6,0.903089986991944,0.991226075692495,-1.33724216831843,-0.56304266933055,-2.18708664335714,"A",97,1,"lks"
"lksbl",0.19,16.6,8.9,7.7,0.903089986991944,0.673941998634088,-0.901356274182943,-0.669079169404764,-2.15490195998574,"A",98,1,"lks"
"lksol",0.19,18.4,8.7,7.7,0.845098040014257,0.585460729508501,-1.69897000433602,-1.14874165128092,-2.22731164531786,"A",99,1,"lks"
"lkspo",0.22,17.1,6.2,7.4,1.74036268949424,0.666283922623102,-1.65757731917779,-1.63357704277403,-1.75696195131371,"A",100,1,"lks"
"marab",45.39,24.3,7,8.2,0.954242509439325,0.7481880270062,-2.51215487988856,-2.26360349772336,-1.7582045687048,"B",101,22,"mar"
"marce",37.3475,25.1,7.1,8.1,1.04139268515823,0.77451696572855,-2.38721614328026,-2.26360349772336,-1.39147396642281,"B",102,22,"mar"
"marcw",32.82,24.2,7.2,8.1,1.27875360095283,0.785329835010767,-2.53017798402184,-2.26360349772336,-1.38457604711406,"B",103,22,"mar"
"marmb",40.85,24.4,7.1,8.2,1.23044892137827,0.788875115775417,-2.56066730616974,-2.26360349772336,-1.63827216398241,"B",104,22,"mar"
"marsc",48.855,24.55,6.7,8.2,0.845098040014257,0.612783856719735,-2.40340290437354,-2.26360349772336,-2.15801519540989,"B",105,22,"mar"
"narnc",44.27,15.4,7.1,7.5,0.301029995663981,0.224014811372864,-1.69143558643876,-2.52287874528034,-1.53017798402184,"C",106,6,"nar"
"narpc",45.22,11.9,8.7,7.9,0,0.400969479225656,-1.83863199776503,-2.39794000867204,-1.59345981956604,"C",107,6,"nar"
"nartb",47.405,11.4,8.5,8,0,0.273348568749101,-1.92263209471584,-2.52651302993543,-1.68983793479555,"C",108,6,"nar"
"narts",46.73,12.2,8.55,8,0,0.251638220448212,-2.08884239126002,-2.56066730616974,-1.72932116385529,"C",109,6,"nar"
"niwcb",51.85,20.8,6.2,7.7,1,0.688864568054792,-1.30037904203439,-2.15490195998574,-1.8787411696112,"D",112,14,"niw"
"niwdc",51.25,21.05,6.35,7.7,0.954242509439325,0.739374533250178,-1.33068311943389,-2.21944267985048,-1.90308998699194,"D",113,14,"niw"
"niwol",51.785,21.4,5.9,7.6,1.04139268515823,0.859588576735493,-1.28713993533554,-2.23750899597399,-1.82066368613117,"D",114,14,"niw"
"niwta",11.63,20.6,6.8,7.1,1.47712125471966,0.898450919198375,-1.02204787879854,-0.869224119644043,-1.44279366023447,"A",115,14,"niw"
"nocec",35.4275,20.4,7.4,7.8,1,0.853089529851866,-1.30891850787703,-1.04215336629185,-1.80134291304558,"D",118,13,"noc"
"noclc",50.585,20.6,7.2,8,0.698970004336019,0.391816923613249,-1.44369749923271,-2.62893213772826,-2.52287874528034,"B",119,13,"noc"
"nocrc",48.045,20.7,7,7.9,0.778151250383644,0.544068044350276,-1.4207882197685,-2.62893213772826,-2.48148606012211,"B",120,13,"noc"
"noczb",35.5,20.75,6.7,7.7,1.17609125905568,0.966610986681934,-1.27327279097343,-1.18508681872493,-1.58169870868025,"D",121,13,"noc"
"owcbr",0.65,14.9,8.1,7.8,1,0.247973266361807,-1.52287874528034,0.381160223320141,-1.64902553407761,"A",122,2,"owc"
"owcdr",0.63,15.7,6.7,7.6,1.23044892137827,0.564073978977147,-1.44369749923271,0.283753383332527,-1.79588001734408,"A",123,2,"owc"
"owcol",0.5,16.8,7.85,7.7,1.47712125471966,1.23942461800743,-1.1337126609158,0.0902580529313163,-2.03385826726097,"A",124,2,"owc"
"owcsu",0.67,15.3,7.4,7.8,1.24303804868629,0.763802224074593,-1.26760624017703,0.491081413423187,-1.71219827006977,"A",125,2,"owc"
"owcwm",0.48,16.7,7.8,7.7,1.47712125471966,1.19180021001471,-1.09240951178138,0.0363294163373736,-2.04817696468409,"A",126,2,"owc"
"pdbbp",44.93,10.9,9.5,8,0.301029995663981,0.232784414320742,-1.7582045687048,-0.914352711703143,-1.29157909986529,"C",127,27,"pdb"
"pdbby",45.395,10.25,8.7,7.9,0.301029995663981,0.280464546626918,-1.80340934588269,-0.689041307580002,-1.24317378692209,"C",128,27,"pdb"
"pdbgd",46.31,9.7,7.1,7.8,0.301029995663981,0.149603954933024,-1.74472749489669,-0.501586055070308,-1.19212686799667,"C",129,27,"pdb"
"pdbgs",45.54,10.65,8.7,7.9,0,0.251435421246814,-1.93930215964639,-0.607361659937251,-1.25453483132927,"C",130,27,"pdb"
"pdbje",41.115,11.9,8.2,7.6,1.09691001300806,0.462397997898956,-0.35768389730739,-0.167746629802992,-1.70774392864352,"A",131,27,"pdb"
"pdbjl",3.7325,11.05,5.9,6.9,1.43136376415899,0.443849475707047,-0.351371687682241,-0.0938738038262018,-1.7514137561449,"A",132,27,"pdb"
"rkbfb",45.98,27.1,5.2,7.8,0.903089986991944,0.667686381802805,-1.56863623584101,-2.25963731050576,-1.87778412172717,"B",137,18,"rkb"
"rkbfu",42.2375,26.95,5,7.7,0.845098040014257,0.414973347970818,-1.49825627037201,-1.78251605578609,-1.97881070093006,"B",138,18,"rkb"
"rkblh",50.53,27.1,5.4,7.9,0.903089986991944,0.602059991327962,-1.65757731917779,-2.18708664335714,-2.09691001300806,"B",139,18,"rkb"
"rkbmb",50.5925,26.9,4.4,7.7,1,0.537189226243645,-1.42021640338319,-1.82390874094432,-1.60205999132796,"D",140,18,"rkb"
"rkbpb",46.495,27.05,4.9,7.8,1,0.582631439489636,-1.57675412606319,-2.22184874961636,-1.69897000433602,"B",141,18,"rkb"
"sapca",48.6475,22.5,6.5,7.8,1.20411998265592,0.937517892017347,-1.32836440339787,-2.56066730616974,-1.2251182341812,"D",144,16,"sap"
"sapdc",42.4,22.6,4.9,7.4,1.20411998265592,0.604496052771067,-0.62219306876306,-1.75696195131371,-0.637234873444574,"D",145,16,"sap"
"sapfd",37.01,24.9,5.2,7.2,0.929418925714293,0.860338006570994,-1.57267621364275,-2.22184874961636,-1.40157429332713,"D",146,16,"sap"
"saphd",40.02,22.8,5.3,7.4,0.845098040014257,0.693140460675295,-1.44855000202712,-2.56066730616974,-1.48945498979339,"D",147,16,"sap"
"sapld",42.0575,21.95,6.1,7.7,1.39794000867204,0.977151788903537,-1.431798275933,-1.83863199776503,-1.53263858256949,"D",148,16,"sap"
"sapml",40.905,22.6,6.8,7.7,1.25527250510331,0.927712461900276,-1.50376245483326,-1.47279988093702,-1.45469288353418,"D",149,16,"sap"
"sfbcc",37.03,16.35,7.8,7.8,1.63848925695464,0.792391689498254,-1.32376378323669,-0.638602731211255,-1.03116695510957,"A",150,25,"sfb"
